# Zeit t in min     Temperatur in °C    Strom in A(10^-11)
0                   -60.0                0.025
1                   -59.3                0.026
2                   -58.7                0.026
3                   -57.9                0.026
4                   -57.1                0.026
5                   -56.1                0.026
6                   -55.2                0.026
7                   -54.0                0.026
8                   -52.8                0.025
9                   -51.3                0.024
10                  -49.0                0.025
11                  -47.1                0.023
12                  -44.8                0.023
13                  -42.6                0.015
14                  -40.6                0.012
15                  -38.2                0.005
#Wert ausgelassen
17                  -34.0                0.020
18                  -31.8                0.037
19                  -30.0                0.064
20                  -27.9                0.090
#
21                  -26.0                0.140  
22                  -24.1                0.180
23                  -22.2                0.240
24                  -20.2                0.300
25                  -18.6                0.370
26                  -16.7                0.450
27                  -15.0                0.500
28                  -13.2                0.540
29                  -11.4                0.540
30                  -9.8                 0.500
31                  -8.1                 0.430
32                  -6.6                 0.340
33                  -5.0                 0.260
34                  -3.4                 0.190
35                  -1.8                 0.150
36                  -0.4                 0.120
37                   1.1                 0.110
38                   2.5                 0.120
39                   4.0                 0.120
40                   5.4                 0.130
41                   6.7                 0.140
42                   8.1                 0.150
43                   9.4                 0.150
44                   10.7                0.160
45                   12.0                0.170
46                   13.2                0.170
47                   14.4                0.180
48                   15.6                0.180
49                   16.9                0.180
50                   18.0                0.180
51                   19.2                0.180
52                   20.2                0.180
