No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
13,	01:04:05,	12,	1.019E+02,	1.410E+02,	1.270E+02
14,	01:04:06,	13,	1.185E+02,	1.510E+02,	1.370E+02
15,	01:04:08,	14,	1.226E+02,	1.600E+02,	1.460E+02
16,	01:04:09,	15,	1.301E+02,	1.680E+02,	1.550E+02
17,	01:04:11,	16,	1.337E+02,	1.770E+02,	1.640E+02
18,	01:04:12,	17,	1.409E+02,	1.840E+02,	1.730E+02
19,	01:04:14,	18,	1.444E+02,	1.940E+02,	1.780E+02
20,	01:04:15,	19,	1.480E+02,	1.990E+02,	1.860E+02
21,	01:04:17,	20,	1.552E+02,	2.150E+02,	1.930E+02
22,	01:04:18,	21,	1.588E+02,	2.270E+02,	1.990E+02
23,	01:04:19,	22,	1.659E+02,	2.350E+02,	2.080E+02
24,	01:04:21,	23,	1.695E+02,	2.480E+02,	2.180E+02
25,	01:04:22,	24,	1.731E+02,	2.600E+02,	2.300E+02
26,	01:04:23,	25,	1.766E+02,	2.720E+02,	2.400E+02
27,	01:04:25,	26,	1.837E+02,	2.870E+02,	2.510E+02
28,	01:04:26,	27,	1.873E+02,	2.960E+02,	2.650E+02
29,	01:04:27,	28,	1.944E+02,	3.120E+02,	2.790E+02
30,	01:04:29,	29,	1.980E+02,	3.220E+02,	2.860E+02
31,	01:04:30,	30,	2.037E+02,	3.350E+02,	2.970E+02
32,	01:04:31,	31,	2.072E+02,	3.500E+02,	3.100E+02
33,	01:04:33,	32,	2.109E+02,	3.570E+02,	3.230E+02
34,	01:04:34,	34,	2.179E+02,	3.670E+02,	3.320E+02
35,	01:04:35,	35,	2.215E+02,	3.740E+02,	3.420E+02
36,	01:04:37,	36,	2.250E+02,	3.860E+02,	3.510E+02
37,	01:04:38,	37,	2.322E+02,	3.980E+02,	3.630E+02
38,	01:04:39,	38,	2.357E+02,	4.120E+02,	3.760E+02
39,	01:04:41,	39,	2.393E+02,	4.340E+02,	3.890E+02
40,	01:04:42,	40,	2.464E+02,	4.500E+02,	3.970E+02
41,	01:04:43,	41,	2.500E+02,	4.760E+02,	4.080E+02
42,	01:04:45,	42,	2.536E+02,	4.860E+02,	4.250E+02
43,	01:04:46,	43,	2.572E+02,	4.950E+02,	4.440E+02
44,	01:04:47,	44,	2.642E+02,	5.050E+02,	4.610E+02
45,	01:04:49,	45,	2.678E+02,	5.310E+02,	4.790E+02
46,	01:04:50,	46,	2.715E+02,	5.570E+02,	4.970E+02
47,	01:04:51,	47,	2.785E+02,	5.690E+02,	5.160E+02
48,	01:04:52,	48,	2.820E+02,	5.910E+02,	5.380E+02
49,	01:04:54,	49,	2.856E+02,	6.030E+02,	5.600E+02
50,	01:04:55,	50,	2.927E+02,	6.370E+02,	5.790E+02
51,	01:04:56,	51,	2.963E+02,	6.700E+02,	6.000E+02
52,	01:04:58,	52,	3.000E+02,	6.760E+02,	6.190E+02
53,	01:04:59,	53,	3.070E+02,	7.090E+02,	6.340E+02
54,	01:05:00,	54,	3.105E+02,	7.280E+02,	6.490E+02
55,	01:05:02,	55,	3.141E+02,	7.320E+02,	6.720E+02
56,	01:05:03,	56,	3.212E+02,	7.710E+02,	6.970E+02
57,	01:05:05,	57,	3.248E+02,	7.790E+02,	7.160E+02
58,	01:05:06,	58,	3.283E+02,	7.950E+02,	7.530E+02
59,	01:05:07,	59,	3.356E+02,	8.280E+02,	7.770E+02
60,	01:05:09,	60,	3.391E+02,	8.500E+02,	8.120E+02
61,	01:05:10,	61,	3.427E+02,	8.500E+02,	8.200E+02
62,	01:05:11,	62,	3.498E+02,	8.910E+02,	8.410E+02
63,	01:05:13,	63,	3.534E+02,	9.010E+02,	8.750E+02
64,	01:05:14,	64,	3.605E+02,	9.550E+02,	9.040E+02
65,	01:05:15,	65,	3.641E+02,	9.640E+02,	9.170E+02
66,	01:05:17,	66,	3.676E+02,	1.000E+03,	9.430E+02
67,	01:05:18,	67,	3.747E+02,	9.990E+02,	9.650E+02
68,	01:05:19,	68,	3.783E+02,	9.990E+02,	9.820E+02
69,	01:05:21,	69,	3.818E+02,	9.990E+02,	1.000E+03
70,	01:05:22,	70,	3.889E+02,	9.990E+02,	1.000E+03
71,	01:05:24,	71,	3.925E+02,	1.000E+03,	1.000E+03
72,	01:05:25,	72,	3.961E+02,	1.000E+03,	1.000E+03
73,	01:05:26,	73,	4.032E+02,	1.000E+03,	1.000E+03
74,	01:05:28,	74,	4.067E+02,	9.990E+02,	1.000E+03
75,	01:05:29,	75,	4.137E+02,	9.990E+02,	1.000E+03
76,	01:05:30,	76,	4.172E+02,	9.990E+02,	1.000E+03
77,	01:05:32,	77,	4.208E+02,	1.000E+03,	1.000E+03
78,	01:05:33,	78,	4.278E+02,	1.000E+03,	1.000E+03
79,	01:05:35,	79,	4.314E+02,	9.980E+02,	1.000E+03
80,	01:05:36,	80,	4.350E+02,	1.000E+03,	1.000E+03
81,	01:05:37,	81,	4.419E+02,	9.990E+02,	1.000E+03
82,	01:05:39,	82,	4.454E+02,	9.990E+02,	1.000E+03
83,	01:05:40,	83,	4.525E+02,	1.000E+03,	1.000E+03
84,	01:05:41,	84,	4.560E+02,	9.990E+02,	1.000E+03
85,	01:05:43,	85,	4.596E+02,	1.000E+03,	1.000E+03
86,	01:05:44,	86,	4.630E+02,	9.990E+02,	1.000E+03
87,	01:05:45,	87,	4.700E+02,	9.990E+02,	1.000E+03
88,	01:05:47,	88,	4.734E+02,	9.990E+02,	1.000E+03
89,	01:05:48,	89,	4.770E+02,	1.000E+03,	1.000E+03
90,	01:05:49,	90,	4.839E+02,	9.990E+02,	1.000E+03
91,	01:05:51,	91,	4.874E+02,	1.000E+03,	1.000E+03
92,	01:05:52,	92,	4.943E+02,	1.000E+03,	1.000E+03
93,	01:05:53,	93,	4.978E+02,	9.990E+02,	1.000E+03
94,	01:05:55,	94,	5.012E+02,	1.000E+03,	1.000E+03
95,	01:05:56,	95,	5.082E+02,	1.000E+03,	1.000E+03
96,	01:05:57,	96,	5.115E+02,	9.990E+02,	1.000E+03
97,	01:05:59,	97,	5.150E+02,	1.000E+03,	1.000E+03
