No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
7,	02:45:54,	6,	1.000E+01,	1.470E+01,	1.380E+01
8,	02:45:55,	7,	1.320E+01,	1.490E+01,	1.410E+01
9,	02:45:57,	8,	1.640E+01,	1.540E+01,	1.450E+01
10,	02:45:58,	9,	1.670E+01,	1.580E+01,	1.500E+01
11,	02:45:59,	10,	1.710E+01,	1.630E+01,	1.550E+01
12,	02:46:00,	11,	1.750E+01,	1.670E+01,	1.590E+01
13,	02:46:02,	12,	1.820E+01,	1.710E+01,	1.630E+01
14,	02:46:03,	13,	1.850E+01,	1.750E+01,	1.670E+01
15,	02:46:04,	14,	1.900E+01,	1.790E+01,	1.710E+01
16,	02:46:06,	15,	1.960E+01,	1.830E+01,	1.760E+01
17,	02:46:07,	16,	2.000E+01,	1.870E+01,	1.800E+01
18,	02:46:08,	17,	2.040E+01,	1.900E+01,	1.840E+01
19,	02:46:09,	18,	2.040E+01,	1.940E+01,	1.870E+01
20,	02:46:11,	19,	2.150E+01,	1.980E+01,	1.910E+01
21,	02:46:12,	20,	2.180E+01,	2.030E+01,	1.950E+01
22,	02:46:13,	21,	2.220E+01,	2.090E+01,	1.990E+01
23,	02:46:15,	22,	2.300E+01,	2.150E+01,	2.020E+01
24,	02:46:16,	23,	2.330E+01,	2.200E+01,	2.060E+01
25,	02:46:17,	24,	2.360E+01,	2.260E+01,	2.090E+01
26,	02:46:19,	25,	2.440E+01,	2.310E+01,	2.150E+01
27,	02:46:20,	26,	2.470E+01,	2.360E+01,	2.200E+01
28,	02:46:21,	27,	2.510E+01,	2.420E+01,	2.260E+01
29,	02:46:22,	28,	2.550E+01,	2.460E+01,	2.310E+01
30,	02:46:24,	29,	2.620E+01,	2.510E+01,	2.360E+01
31,	02:46:25,	30,	2.650E+01,	2.570E+01,	2.410E+01
32,	02:46:26,	31,	2.690E+01,	2.610E+01,	2.470E+01
33,	02:46:28,	33,	2.750E+01,	2.660E+01,	2.520E+01
34,	02:46:29,	34,	2.790E+01,	2.710E+01,	2.570E+01
35,	02:46:30,	35,	2.820E+01,	2.760E+01,	2.620E+01
36,	02:46:31,	36,	2.820E+01,	2.810E+01,	2.670E+01
37,	02:46:33,	37,	2.930E+01,	2.860E+01,	2.720E+01
38,	02:46:34,	38,	2.970E+01,	2.900E+01,	2.760E+01
39,	02:46:35,	39,	3.000E+01,	2.960E+01,	2.820E+01
40,	02:46:37,	40,	3.080E+01,	3.000E+01,	2.870E+01
41,	02:46:38,	41,	3.110E+01,	3.050E+01,	2.920E+01
42,	02:46:39,	42,	3.150E+01,	3.090E+01,	2.970E+01
43,	02:46:41,	43,	3.220E+01,	3.140E+01,	3.010E+01
44,	02:46:42,	44,	3.250E+01,	3.180E+01,	3.050E+01
45,	02:46:43,	45,	3.300E+01,	3.220E+01,	3.100E+01
46,	02:46:45,	46,	3.370E+01,	3.270E+01,	3.140E+01
47,	02:46:46,	47,	3.400E+01,	3.310E+01,	3.190E+01
48,	02:46:47,	48,	3.440E+01,	3.340E+01,	3.230E+01
49,	02:46:48,	49,	3.470E+01,	3.390E+01,	3.270E+01
50,	02:46:50,	50,	3.550E+01,	3.430E+01,	3.320E+01
51,	02:46:51,	51,	3.590E+01,	3.470E+01,	3.360E+01
52,	02:46:52,	52,	3.620E+01,	3.510E+01,	3.400E+01
