No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
13,	04:02:03,	12,	2.100E-02,	4.950E-05,	2.230E-04
14,	04:02:04,	13,	2.000E-02,	2.110E-04,	2.260E-04
15,	04:02:06,	14,	2.000E-02,	2.530E-04,	2.330E-04
16,	04:02:07,	15,	1.900E-02,	2.770E-04,	2.390E-04
17,	04:02:08,	16,	1.900E-02,	2.970E-04,	2.460E-04
18,	04:02:10,	17,	1.800E-02,	3.140E-04,	2.530E-04
19,	04:02:11,	18,	1.800E-02,	3.320E-04,	2.600E-04
20,	04:02:12,	19,	1.800E-02,	3.490E-04,	2.670E-04
21,	04:02:14,	20,	1.800E-02,	3.640E-04,	2.740E-04
22,	04:02:15,	21,	1.800E-02,	3.790E-04,	2.800E-04
23,	04:02:16,	22,	1.700E-02,	3.930E-04,	2.870E-04
24,	04:02:17,	23,	1.700E-02,	4.060E-04,	2.940E-04
25,	04:02:19,	24,	1.700E-02,	4.190E-04,	3.000E-04
26,	04:02:20,	25,	1.700E-02,	4.310E-04,	3.070E-04
27,	04:02:21,	26,	1.700E-02,	4.440E-04,	3.140E-04
28,	04:02:22,	27,	1.700E-02,	4.540E-04,	3.220E-04
29,	04:02:24,	28,	1.700E-02,	4.670E-04,	3.290E-04
30,	04:02:25,	29,	1.700E-02,	4.780E-04,	3.370E-04
31,	04:02:26,	30,	1.700E-02,	4.910E-04,	3.450E-04
32,	04:02:28,	32,	1.700E-02,	5.030E-04,	3.530E-04
33,	04:02:29,	33,	1.700E-02,	5.140E-04,	3.610E-04
34,	04:02:30,	34,	1.700E-02,	5.260E-04,	3.690E-04
35,	04:02:32,	35,	1.600E-02,	5.350E-04,	3.760E-04
36,	04:02:33,	36,	1.600E-02,	5.450E-04,	3.830E-04
37,	04:02:34,	37,	1.600E-02,	5.570E-04,	3.910E-04
38,	04:02:35,	38,	1.600E-02,	5.690E-04,	3.990E-04
39,	04:02:37,	39,	1.600E-02,	5.780E-04,	4.060E-04
40,	04:02:38,	40,	1.600E-02,	5.890E-04,	4.140E-04
41,	04:02:39,	41,	1.600E-02,	6.020E-04,	4.210E-04
42,	04:02:41,	42,	1.600E-02,	6.100E-04,	4.280E-04
43,	04:02:42,	43,	1.600E-02,	6.220E-04,	4.360E-04
44,	04:02:43,	44,	1.600E-02,	6.350E-04,	4.430E-04
45,	04:02:45,	45,	1.600E-02,	6.430E-04,	4.500E-04
46,	04:02:46,	46,	1.600E-02,	6.540E-04,	4.560E-04
47,	04:02:47,	47,	1.600E-02,	6.670E-04,	4.640E-04
48,	04:02:48,	48,	1.600E-02,	6.800E-04,	4.700E-04
49,	04:02:50,	49,	1.600E-02,	6.900E-04,	4.800E-04
50,	04:02:51,	50,	1.600E-02,	7.050E-04,	4.900E-04
51,	04:02:52,	51,	1.600E-02,	7.190E-04,	5.020E-04
52,	04:02:54,	52,	1.600E-02,	7.400E-04,	5.140E-04
53,	04:02:55,	53,	1.600E-02,	7.550E-04,	5.270E-04
54,	04:02:56,	54,	1.600E-02,	7.710E-04,	5.370E-04
55,	04:02:58,	55,	1.600E-02,	7.800E-04,	5.460E-04
56,	04:02:59,	56,	1.600E-02,	7.960E-04,	5.600E-04
57,	04:03:00,	57,	1.600E-02,	8.120E-04,	5.730E-04
58,	04:03:01,	58,	1.600E-02,	8.210E-04,	5.840E-04
59,	04:03:03,	59,	1.600E-02,	8.410E-04,	5.970E-04
60,	04:03:04,	60,	1.600E-02,	8.550E-04,	6.040E-04
61,	04:03:05,	61,	1.600E-02,	8.740E-04,	6.170E-04
62,	04:03:07,	62,	1.600E-02,	8.870E-04,	6.100E-04
63,	04:03:08,	63,	1.600E-02,	9.060E-04,	6.250E-04
64,	04:03:09,	64,	1.600E-02,	9.150E-04,	6.390E-04
65,	04:03:11,	65,	1.600E-02,	9.290E-04,	6.520E-04
66,	04:03:12,	66,	1.600E-02,	9.450E-04,	6.700E-04
67,	04:03:13,	67,	1.600E-02,	9.590E-04,	6.820E-04
68,	04:03:15,	68,	1.600E-02,	9.750E-04,	6.930E-04
69,	04:03:16,	69,	1.600E-02,	9.940E-04,	7.120E-04
70,	04:03:17,	70,	1.500E-02,	1.010E-03,	7.230E-04
71,	04:03:19,	71,	1.500E-02,	1.030E-03,	7.340E-04
72,	04:03:20,	72,	1.500E-02,	1.050E-03,	7.480E-04
73,	04:03:21,	73,	1.500E-02,	1.070E-03,	7.600E-04
