No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
13,	11:59:41,	12,	2.400E-01,	4.980E-03,	1.150E-02
14,	11:59:42,	13,	2.400E-01,	4.800E-03,	8.650E-03
15,	11:59:44,	14,	2.100E-01,	2.430E-03,	3.570E-03
16,	11:59:45,	15,	1.800E-01,	1.200E-03,	1.700E-03
17,	11:59:46,	16,	1.400E-01,	6.510E-04,	8.820E-04
18,	11:59:48,	17,	9.800E-02,	4.100E-04,	4.740E-04
19,	11:59:49,	18,	8.200E-02,	2.870E-04,	3.310E-04
20,	11:59:50,	19,	6.700E-02,	1.930E-04,	2.350E-04
21,	11:59:51,	20,	4.800E-02,	1.370E-04,	1.680E-04
22,	11:59:53,	21,	4.100E-02,	9.820E-05,	1.220E-04
23,	11:59:54,	22,	3.500E-02,	7.400E-05,	9.350E-05
24,	11:59:55,	23,	3.100E-02,	5.810E-05,	7.510E-05
25,	11:59:57,	24,	2.400E-02,	4.500E-05,	6.070E-05
26,	11:59:58,	25,	2.200E-02,	3.620E-05,	5.080E-05
27,	11:59:59,	26,	2.000E-02,	3.030E-05,	4.380E-05
28,	12:00:00,	27,	1.800E-02,	2.600E-05,	3.850E-05
29,	12:00:02,	28,	1.700E-02,	2.310E-05,	3.550E-05
30,	12:00:03,	29,	1.700E-02,	2.110E-05,	4.010E-05
31,	12:00:04,	30,	1.600E-02,	1.960E-05,	3.740E-05
32,	12:00:06,	31,	1.500E-02,	1.840E-05,	3.550E-05
33,	12:00:07,	33,	1.500E-02,	1.750E-05,	3.400E-05
34,	12:00:08,	34,	1.300E-02,	1.670E-05,	3.270E-05
35,	12:00:10,	35,	1.300E-02,	1.600E-05,	3.170E-05
36,	12:00:11,	36,	1.300E-02,	1.540E-05,	3.070E-05
37,	12:00:12,	37,	1.300E-02,	1.500E-05,	2.990E-05
38,	12:00:14,	38,	1.300E-02,	1.460E-05,	2.920E-05
39,	12:00:15,	39,	1.200E-02,	1.420E-05,	2.850E-05
40,	12:00:16,	40,	1.200E-02,	1.390E-05,	2.780E-05
41,	12:00:18,	41,	1.200E-02,	1.360E-05,	2.710E-05
42,	12:00:19,	42,	1.200E-02,	1.330E-05,	2.630E-05
43,	12:00:20,	43,	1.200E-02,	1.300E-05,	2.580E-05
44,	12:00:21,	44,	1.200E-02,	1.270E-05,	2.530E-05
45,	12:00:23,	45,	1.200E-02,	1.250E-05,	2.490E-05
46,	12:00:24,	46,	1.200E-02,	1.220E-05,	2.440E-05
47,	12:00:25,	47,	1.200E-02,	1.200E-05,	2.400E-05
48,	12:00:27,	48,	1.200E-02,	1.180E-05,	2.370E-05
49,	12:00:28,	49,	1.200E-02,	1.170E-05,	2.330E-05
50,	12:00:29,	50,	1.200E-02,	1.150E-05,	2.290E-05
51,	12:00:31,	51,	1.200E-02,	1.130E-05,	2.260E-05
52,	12:00:32,	52,	1.200E-02,	1.110E-05,	2.230E-05
53,	12:00:33,	53,	1.200E-02,	1.100E-05,	2.210E-05
54,	12:00:34,	54,	1.200E-02,	1.080E-05,	2.180E-05
55,	12:00:36,	55,	1.200E-02,	1.070E-05,	2.150E-05
56,	12:00:37,	56,	1.200E-02,	1.060E-05,	2.130E-05
57,	12:00:38,	57,	1.200E-02,	1.040E-05,	2.110E-05
58,	12:00:40,	58,	1.200E-02,	1.030E-05,	2.080E-05
59,	12:00:41,	59,	1.200E-02,	1.020E-05,	2.060E-05
60,	12:00:42,	60,	1.200E-02,	1.010E-05,	2.040E-05
61,	12:00:44,	61,	1.200E-02,	7.990E-06,	2.020E-05
62,	12:00:45,	62,	1.200E-02,	7.910E-06,	2.000E-05
63,	12:00:46,	63,	1.200E-02,	7.820E-06,	1.990E-05
64,	12:00:48,	64,	1.200E-02,	7.750E-06,	1.970E-05
65,	12:00:49,	65,	1.200E-02,	7.680E-06,	1.950E-05
66,	12:00:50,	66,	1.200E-02,	7.620E-06,	1.940E-05
67,	12:00:52,	67,	1.200E-02,	7.560E-06,	1.920E-05
68,	12:00:53,	68,	1.200E-02,	7.470E-06,	1.910E-05
69,	12:00:54,	69,	1.200E-02,	7.420E-06,	1.890E-05
70,	12:00:56,	70,	1.100E-02,	7.350E-06,	1.880E-05
71,	12:00:57,	71,	1.100E-02,	7.290E-06,	1.870E-05
72,	12:00:58,	72,	1.100E-02,	7.230E-06,	1.860E-05
73,	12:01:00,	73,	1.100E-02,	7.180E-06,	1.850E-05
74,	12:01:01,	74,	1.100E-02,	7.130E-06,	1.830E-05
75,	12:01:02,	75,	1.100E-02,	7.090E-06,	1.820E-05
76,	12:01:04,	76,	1.100E-02,	7.030E-06,	1.810E-05
77,	12:01:05,	77,	1.100E-02,	6.970E-06,	1.800E-05
78,	12:01:06,	78,	1.100E-02,	6.930E-06,	1.790E-05
79,	12:01:08,	79,	1.100E-02,	6.890E-06,	1.780E-05
80,	12:01:09,	80,	1.100E-02,	6.850E-06,	1.770E-05
81,	12:01:11,	81,	1.100E-02,	6.800E-06,	1.760E-05
82,	12:01:12,	82,	1.100E-02,	6.750E-06,	1.750E-05
83,	12:01:13,	83,	1.100E-02,	6.710E-06,	1.740E-05
84,	12:01:15,	84,	1.100E-02,	6.690E-06,	1.730E-05
85,	12:01:16,	85,	1.100E-02,	6.640E-06,	1.720E-05
86,	12:01:17,	86,	1.100E-02,	6.610E-06,	1.710E-05
87,	12:01:19,	87,	1.100E-02,	6.560E-06,	1.700E-05
88,	12:01:20,	88,	1.100E-02,	6.540E-06,	1.700E-05
89,	12:01:21,	89,	1.100E-02,	6.490E-06,	1.690E-05
90,	12:01:23,	90,	1.100E-02,	6.470E-06,	1.680E-05
91,	12:01:24,	91,	1.100E-02,	6.430E-06,	1.670E-05
92,	12:01:25,	92,	1.100E-02,	6.390E-06,	1.670E-05
93,	12:01:27,	93,	1.100E-02,	6.360E-06,	1.660E-05
94,	12:01:28,	94,	1.100E-02,	6.320E-06,	1.650E-05
95,	12:01:29,	95,	1.100E-02,	6.300E-06,	1.650E-05
96,	12:01:31,	96,	1.100E-02,	6.270E-06,	1.640E-05
97,	12:01:32,	98,	1.100E-02,	6.240E-06,	1.630E-05
98,	12:01:33,	99,	1.100E-02,	6.210E-06,	1.630E-05
99,	12:01:35,	100,	1.100E-02,	6.180E-06,	1.620E-05
100,	12:01:36,	101,	1.100E-02,	6.160E-06,	1.620E-05
101,	12:01:37,	102,	1.100E-02,	6.140E-06,	1.610E-05
102,	12:01:39,	103,	1.100E-02,	6.110E-06,	1.600E-05
103,	12:01:40,	104,	1.100E-02,	6.090E-06,	1.600E-05
104,	12:01:42,	105,	1.100E-02,	6.060E-06,	1.600E-05
105,	12:01:43,	106,	1.100E-02,	6.050E-06,	1.590E-05
106,	12:01:44,	107,	1.100E-02,	6.020E-06,	1.580E-05
107,	12:01:46,	108,	1.100E-02,	5.990E-06,	1.580E-05
108,	12:01:47,	109,	1.100E-02,	5.970E-06,	1.570E-05
109,	12:01:48,	110,	1.100E-02,	5.950E-06,	1.570E-05
110,	12:01:50,	111,	1.100E-02,	5.930E-06,	1.560E-05
111,	12:01:51,	112,	1.100E-02,	5.920E-06,	1.560E-05
112,	12:01:53,	113,	1.100E-02,	5.890E-06,	1.560E-05
113,	12:01:54,	114,	1.100E-02,	5.870E-06,	1.550E-05
114,	12:01:55,	115,	1.100E-02,	5.860E-06,	1.550E-05
115,	12:01:57,	116,	1.100E-02,	5.850E-06,	1.540E-05
116,	12:01:58,	117,	1.100E-02,	5.820E-06,	1.540E-05
117,	12:01:59,	118,	1.100E-02,	5.810E-06,	1.530E-05
118,	12:02:01,	119,	1.100E-02,	5.780E-06,	1.530E-05
119,	12:02:02,	120,	1.100E-02,	5.760E-06,	1.530E-05
120,	12:02:04,	121,	1.100E-02,	5.750E-06,	1.520E-05
121,	12:02:05,	122,	1.100E-02,	5.730E-06,	1.520E-05
122,	12:02:06,	123,	1.100E-02,	5.720E-06,	1.520E-05
123,	12:02:08,	124,	1.100E-02,	5.710E-06,	1.510E-05
124,	12:02:09,	125,	1.100E-02,	5.690E-06,	1.510E-05
125,	12:02:10,	126,	1.100E-02,	5.670E-06,	1.500E-05
126,	12:02:12,	127,	1.100E-02,	5.660E-06,	1.500E-05
127,	12:02:13,	128,	1.100E-02,	5.650E-06,	1.500E-05
128,	12:02:15,	129,	1.100E-02,	5.630E-06,	1.490E-05
129,	12:02:16,	130,	1.100E-02,	5.610E-06,	1.490E-05
130,	12:02:17,	131,	1.100E-02,	5.590E-06,	1.490E-05
131,	12:02:19,	132,	1.100E-02,	5.590E-06,	1.480E-05
132,	12:02:20,	133,	1.100E-02,	5.560E-06,	1.480E-05
133,	12:02:21,	134,	1.100E-02,	5.550E-06,	1.480E-05
134,	12:02:23,	135,	1.100E-02,	5.540E-06,	1.470E-05
135,	12:02:24,	136,	1.100E-02,	5.520E-06,	1.470E-05
136,	12:02:26,	137,	1.100E-02,	5.510E-06,	1.470E-05
137,	12:02:27,	138,	1.100E-02,	5.500E-06,	1.470E-05
138,	12:02:28,	139,	1.100E-02,	5.470E-06,	1.460E-05
139,	12:02:30,	140,	1.100E-02,	5.470E-06,	1.460E-05
140,	12:02:31,	141,	1.100E-02,	5.440E-06,	1.460E-05
141,	12:02:32,	142,	1.100E-02,	5.430E-06,	1.450E-05
142,	12:02:34,	143,	1.100E-02,	5.430E-06,	1.450E-05
143,	12:02:35,	144,	1.100E-02,	5.420E-06,	1.450E-05
144,	12:02:37,	145,	1.100E-02,	5.390E-06,	1.450E-05
145,	12:02:38,	146,	1.100E-02,	5.390E-06,	1.450E-05
146,	12:02:39,	147,	1.100E-02,	5.380E-06,	1.440E-05
147,	12:02:41,	148,	1.100E-02,	5.360E-06,	1.440E-05
148,	12:02:42,	149,	1.100E-02,	5.350E-06,	1.440E-05
149,	12:02:44,	150,	1.100E-02,	5.340E-06,	1.430E-05
150,	12:02:45,	151,	1.100E-02,	5.350E-06,	1.430E-05
151,	12:02:46,	152,	1.100E-02,	5.330E-06,	1.430E-05
152,	12:02:48,	153,	1.100E-02,	5.320E-06,	1.430E-05
153,	12:02:49,	154,	1.100E-02,	5.310E-06,	1.420E-05
154,	12:02:50,	155,	1.100E-02,	5.280E-06,	1.420E-05
155,	12:02:52,	156,	1.100E-02,	5.280E-06,	1.420E-05
156,	12:02:53,	157,	1.100E-02,	5.270E-06,	1.420E-05
157,	12:02:55,	158,	1.100E-02,	5.260E-06,	1.420E-05
158,	12:02:56,	159,	1.100E-02,	5.250E-06,	1.410E-05
159,	12:02:58,	160,	1.100E-02,	5.230E-06,	1.410E-05
160,	12:02:59,	161,	1.100E-02,	5.230E-06,	1.410E-05
161,	12:03:00,	163,	1.100E-02,	5.220E-06,	1.410E-05
162,	12:03:02,	164,	1.100E-02,	5.220E-06,	1.410E-05
163,	12:03:03,	165,	1.100E-02,	5.200E-06,	1.400E-05
164,	12:03:05,	166,	1.100E-02,	5.200E-06,	1.400E-05
165,	12:03:06,	167,	1.100E-02,	5.180E-06,	1.400E-05
166,	12:03:07,	168,	1.100E-02,	5.180E-06,	1.400E-05
167,	12:03:09,	169,	1.100E-02,	5.170E-06,	1.400E-05
168,	12:03:10,	170,	1.100E-02,	5.150E-06,	1.390E-05
169,	12:03:12,	171,	1.100E-02,	5.150E-06,	1.390E-05
170,	12:03:13,	172,	1.100E-02,	5.140E-06,	1.390E-05
171,	12:03:15,	173,	1.100E-02,	5.140E-06,	1.390E-05
172,	12:03:16,	174,	1.100E-02,	5.130E-06,	1.390E-05
173,	12:03:17,	175,	1.100E-02,	5.120E-06,	1.390E-05
174,	12:03:19,	176,	1.100E-02,	5.120E-06,	1.390E-05
175,	12:03:20,	177,	1.100E-02,	5.100E-06,	1.380E-05
176,	12:03:22,	178,	1.100E-02,	5.090E-06,	1.380E-05
177,	12:03:23,	179,	1.100E-02,	5.080E-06,	1.380E-05
178,	12:03:25,	180,	1.100E-02,	5.090E-06,	1.380E-05
179,	12:03:26,	181,	1.100E-02,	5.070E-06,	1.380E-05
180,	12:03:27,	182,	1.100E-02,	5.060E-06,	1.380E-05
