No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
6,	12:44:42,	5,	1.200E-02,	9.990E-03,	6.880E-05
7,	12:44:43,	6,	1.100E-02,	1.000E-02,	7.860E-05
8,	12:44:45,	7,	1.100E-02,	1.000E-02,	9.550E-05
9,	12:44:46,	8,	1.000E-02,	9.990E-03,	1.140E-04
10,	12:44:47,	9,	9.300E-03,	9.990E-03,	1.310E-04
11,	12:44:48,	10,	9.000E-03,	9.990E-03,	1.440E-04
12,	12:44:50,	11,	8.900E-03,	9.990E-03,	1.280E-04
13,	12:44:51,	12,	8.900E-03,	9.990E-03,	1.400E-04
14,	12:44:52,	13,	8.500E-03,	9.990E-03,	1.520E-04
15,	12:44:54,	14,	8.400E-03,	9.990E-03,	1.640E-04
16,	12:44:55,	15,	8.400E-03,	9.990E-03,	1.760E-04
17,	12:44:56,	16,	8.300E-03,	9.990E-03,	1.870E-04
18,	12:44:58,	17,	8.300E-03,	9.990E-03,	1.980E-04
19,	12:44:59,	18,	8.200E-03,	9.990E-03,	2.090E-04
20,	12:45:00,	19,	8.200E-03,	1.000E-02,	2.200E-04
21,	12:45:01,	20,	8.100E-03,	1.000E-02,	2.320E-04
22,	12:45:03,	21,	8.100E-03,	9.990E-03,	2.420E-04
23,	12:45:04,	22,	8.100E-03,	9.990E-03,	2.530E-04
24,	12:45:05,	23,	8.100E-03,	9.990E-03,	2.640E-04
25,	12:45:07,	24,	8.100E-03,	9.990E-03,	2.750E-04
26,	12:45:08,	25,	8.100E-03,	9.990E-03,	2.850E-04
27,	12:45:09,	26,	8.100E-03,	5.640E-03,	2.960E-04
28,	12:45:10,	27,	8.100E-03,	5.580E-03,	3.070E-04
29,	12:45:12,	28,	8.100E-03,	5.530E-03,	3.170E-04
30,	12:45:13,	29,	8.100E-03,	5.500E-03,	3.280E-04
31,	12:45:14,	30,	8.100E-03,	5.480E-03,	3.390E-04
32,	12:45:16,	31,	8.100E-03,	5.450E-03,	3.500E-04
33,	12:45:17,	33,	8.000E-03,	5.410E-03,	3.620E-04
34,	12:45:18,	34,	8.000E-03,	5.390E-03,	3.720E-04
35,	12:45:19,	35,	8.000E-03,	5.350E-03,	3.840E-04
