No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
5,	12:53:24,	4,	2.300E-02,	1.000E-02,	2.060E-04
6,	12:53:25,	5,	2.300E-02,	1.000E-02,	2.110E-04
7,	12:53:26,	6,	1.800E-02,	9.990E-03,	2.590E-04
8,	12:53:27,	7,	1.600E-02,	9.990E-03,	3.080E-04
9,	12:53:29,	8,	1.500E-02,	5.590E-03,	3.580E-04
10,	12:53:30,	9,	1.100E-02,	5.440E-03,	4.080E-04
11,	12:53:31,	10,	1.000E-02,	5.310E-03,	4.460E-04
12,	12:53:33,	11,	9.600E-03,	5.220E-03,	4.960E-04
13,	12:53:34,	12,	9.200E-03,	5.120E-03,	5.440E-04
14,	12:53:35,	13,	8.600E-03,	5.070E-03,	6.020E-04
15,	12:53:37,	14,	8.400E-03,	5.020E-03,	6.780E-04
16,	12:53:38,	15,	8.200E-03,	5.000E-03,	7.560E-04
17,	12:53:39,	16,	8.100E-03,	4.980E-03,	8.440E-04
18,	12:53:40,	17,	8.000E-03,	4.970E-03,	9.380E-04
19,	12:53:42,	18,	8.000E-03,	4.980E-03,	1.040E-03
20,	12:53:43,	19,	8.000E-03,	4.990E-03,	1.120E-03
21,	12:53:44,	20,	7.900E-03,	5.000E-03,	1.220E-03
22,	12:53:46,	21,	7.900E-03,	5.030E-03,	1.300E-03
23,	12:53:47,	22,	7.900E-03,	5.060E-03,	1.400E-03
24,	12:53:48,	23,	7.900E-03,	5.080E-03,	1.500E-03
25,	12:53:49,	24,	7.900E-03,	5.110E-03,	1.590E-03
26,	12:53:51,	25,	7.900E-03,	5.150E-03,	1.710E-03
27,	12:53:52,	26,	7.800E-03,	5.180E-03,	1.840E-03
28,	12:53:53,	27,	7.800E-03,	5.250E-03,	1.960E-03
29,	12:53:55,	28,	7.800E-03,	5.310E-03,	2.070E-03
30,	12:53:56,	29,	7.800E-03,	5.370E-03,	2.190E-03
31,	12:53:57,	30,	7.800E-03,	5.460E-03,	2.320E-03
32,	12:53:59,	31,	7.800E-03,	5.520E-03,	2.420E-03
33,	12:54:00,	33,	7.800E-03,	5.570E-03,	2.570E-03
34,	12:54:01,	34,	7.800E-03,	5.630E-03,	2.750E-03
35,	12:54:02,	35,	7.800E-03,	5.740E-03,	2.880E-03
36,	12:54:04,	36,	7.800E-03,	5.780E-03,	3.000E-03
37,	12:54:05,	37,	7.800E-03,	5.830E-03,	3.130E-03
38,	12:54:06,	38,	7.800E-03,	5.930E-03,	3.270E-03
39,	12:54:08,	39,	7.800E-03,	6.010E-03,	3.420E-03
40,	12:54:09,	40,	7.800E-03,	6.080E-03,	3.550E-03
41,	12:54:10,	41,	7.800E-03,	6.150E-03,	3.700E-03
42,	12:54:11,	42,	7.800E-03,	6.260E-03,	3.850E-03
43,	12:54:13,	43,	7.800E-03,	6.350E-03,	4.000E-03
44,	12:54:14,	44,	7.800E-03,	6.460E-03,	4.130E-03
45,	12:54:15,	45,	7.800E-03,	6.560E-03,	4.250E-03
46,	12:54:17,	46,	7.800E-03,	6.640E-03,	4.410E-03
47,	12:54:18,	47,	7.800E-03,	6.710E-03,	4.570E-03
48,	12:54:19,	48,	7.800E-03,	6.770E-03,	4.720E-03
49,	12:54:20,	49,	7.800E-03,	6.790E-03,	4.890E-03
50,	12:54:22,	50,	7.800E-03,	6.810E-03,	5.100E-03
51,	12:54:23,	51,	7.800E-03,	6.850E-03,	5.280E-03
