#R_1= 10KOhm C=100nF
#F1=F2=180Hz V_out=8.3V

#F_2 in Hz    Amp1   Amp_2 in V   
1             113      14.5
2             117      8.6
3             109      6.0
4             117      4.8
5             117      4.0
6             117      3.4
7             117      3.0
8             117      2.8
9             117      2.6
10            113      2.4
11            213      3.4
12            217      3.6
13            213      3.4
14            213      3.2
15            217      3.0
16            213      2.8
17            213      2.8
18            213      2.6
19            217      2.6
20            213      2.4
30            318      2.4
40            320      2.0
50            320      1.6
60            310      1.4
70            310      1.5
