#R=100KOhm C=22nF

#F_2 in Hz     Amp_2 in V   
36                1.65
40                1.77
45                2.01
50                2.25
55                2.41
60                2.69
65                2.81
70                3.06
75                3.26
80                3.50
85                3.62
90                3.78
95                3.94
100               4.10
150               5.99
160               6.11
170               6.51
180               6.91
190               7.28
200               7.72
210               8.40
220               8.36
230               8.72
240               9.37
250               9.53
