# Zeit t in min     Temperatur in °C    Strom in A(10^-11)
0                   -64.9               0.033
1                   -63.5               0.033
2                   -62.3               0.032
3                   -61.1               0.032            
4                   -59.9               0.032
5                   -58.2               0.031
6                   -56.0               0.030
7                   -54.3               0.028
8                   -52.4               0.026
9                   -50.4               0.025
10                  -48.6               0.027
11                  -46.7               0.027
12                  -44.7               0.020
13                  -43.3               0.003
14                  -41.6               0.001
15                  -40.0               0.003
16                  -38.4               0.001
17                  -36.7               0.007
18                  -35.1               0.015
19                  -33.6               0.024
20                  -32.0               0.036
21                  -30.6               0.053
22                  -29.1               0.070
23                  -27.8               0.091
24                  -26.4               0.120
25                  -24.9               0.150
26                  -23.5               0.190
27                  -22.2               0.220
28                  -20.9               0.260
29                  -19.5               0.300
30                  -18.2               0.350
31                  -16.9               0.380
32                  -15.6               0.400
33                  -14.4               0.400
34                  -13.0               0.400
35                  -11.7               0.370
36                  -10.7               0.340
37                  -9.6                0.300
38                  -8.4                0.240
39                  -7.2                0.190
40                  -6.1                0.150
41                  -5.0                0.120
42                  -3.8                0.100
43                  -2.8                0.090
44                  -1.7                0.080
45                  -0.7                0.077
46                   0.2                0.079
47                   1.3                0.081
48                   2.2                0.084
49                   3.3                0.088
50                   4.2                0.091
51                   5.2                0.095
52                   6.1                0.100
53                   7.1                0.110
54                   8.0                0.110
55                   8.9                0.110
56                   9.9                0.120
57                   10.6               0.120
58                   11.5               0.120
59                   12.4               0.120
60                   13.1               0.120
61                   13.9               0.130
62                   14.7               0.120
63                   15.5               0.120
64                   16.4               0.130  
65                   17.2               0.120
66                   17.9               0.120
67                   18.7               0.120
68                   19.4               0.120
69                   20.1               0.120
