No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
1,	01:08:52,	0,	1.020E+03,	9.990E+02,	9.990E+02
2,	01:08:54,	1,	1.020E+03,	9.990E+02,	9.990E+02
3,	01:08:55,	2,	1.020E+03,	9.990E+02,	9.990E+02
4,	01:08:56,	3,	1.019E+03,	9.980E+02,	9.990E+02
5,	01:08:57,	4,	1.020E+03,	9.980E+02,	9.990E+02
6,	01:08:59,	5,	1.020E+03,	9.980E+02,	9.990E+02
7,	01:09:00,	6,	1.020E+03,	9.980E+02,	9.990E+02
8,	01:09:01,	7,	1.019E+03,	9.990E+02,	9.990E+02
9,	01:09:03,	8,	9.406E+02,	9.980E+02,	9.990E+02
10,	01:09:04,	9,	8.966E+02,	9.980E+02,	9.990E+02
11,	01:09:05,	10,	8.574E+02,	9.990E+02,	9.990E+02
12,	01:09:07,	11,	7.881E+02,	9.990E+02,	9.990E+02
13,	01:09:08,	12,	7.592E+02,	9.990E+02,	9.990E+02
14,	01:09:09,	13,	7.331E+02,	9.990E+02,	9.990E+02
15,	01:09:10,	14,	7.095E+02,	9.990E+02,	9.990E+02
16,	01:09:12,	15,	6.685E+02,	9.980E+02,	9.990E+02
17,	01:09:13,	16,	6.470E+02,	9.980E+02,	9.990E+02
18,	01:09:14,	17,	6.250E+02,	9.990E+02,	9.990E+02
19,	01:09:16,	18,	5.917E+02,	9.980E+02,	9.990E+02
20,	01:09:17,	19,	5.760E+02,	9.990E+02,	9.990E+02
21,	01:09:18,	20,	5.554E+02,	9.980E+02,	9.990E+02
22,	01:09:20,	21,	5.286E+02,	9.990E+02,	9.990E+02
23,	01:09:21,	22,	5.096E+02,	9.990E+02,	9.990E+02
24,	01:09:22,	23,	4.953E+02,	9.980E+02,	9.990E+02
25,	01:09:23,	24,	4.831E+02,	9.980E+02,	9.990E+02
26,	01:09:25,	25,	4.528E+02,	9.990E+02,	9.990E+02
27,	01:09:26,	26,	4.418E+02,	9.990E+02,	9.990E+02
28,	01:09:27,	27,	4.302E+02,	9.990E+02,	9.990E+02
29,	01:09:29,	28,	4.040E+02,	9.980E+02,	9.990E+02
30,	01:09:30,	29,	3.948E+02,	9.980E+02,	9.990E+02
31,	01:09:31,	30,	3.808E+02,	9.990E+02,	9.990E+02
32,	01:09:33,	31,	3.611E+02,	9.980E+02,	9.990E+02
33,	01:09:34,	33,	3.492E+02,	9.980E+02,	9.990E+02
