No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
1,	03:07:28,	0,	9.940E+01,	1.350E+02,	1.220E+02
2,	03:07:29,	1,	9.930E+01,	1.350E+02,	1.220E+02
3,	03:07:30,	2,	9.930E+01,	1.360E+02,	1.220E+02
4,	03:07:32,	3,	9.930E+01,	1.370E+02,	1.220E+02
5,	03:07:33,	4,	9.930E+01,	1.350E+02,	1.220E+02
6,	03:07:34,	5,	9.920E+01,	1.340E+02,	1.220E+02
7,	03:07:36,	6,	9.920E+01,	1.330E+02,	1.220E+02
8,	03:07:37,	7,	9.930E+01,	1.350E+02,	1.220E+02
9,	03:07:38,	8,	9.910E+01,	1.350E+02,	1.220E+02
10,	03:07:40,	9,	9.910E+01,	1.350E+02,	1.210E+02
11,	03:07:41,	10,	9.930E+01,	1.370E+02,	1.240E+02
12,	03:07:42,	11,	1.130E+02,	1.440E+02,	1.320E+02
13,	03:07:43,	12,	1.208E+02,	1.540E+02,	1.420E+02
14,	03:07:45,	13,	1.244E+02,	1.600E+02,	1.490E+02
15,	03:07:46,	14,	1.279E+02,	1.690E+02,	1.560E+02
16,	03:07:47,	15,	1.349E+02,	1.760E+02,	1.620E+02
17,	03:07:49,	16,	1.383E+02,	1.820E+02,	1.680E+02
18,	03:07:50,	17,	1.417E+02,	1.900E+02,	1.750E+02
19,	03:07:51,	18,	1.486E+02,	1.960E+02,	1.810E+02
20,	03:07:52,	19,	1.520E+02,	2.050E+02,	1.880E+02
21,	03:07:54,	20,	1.554E+02,	2.140E+02,	1.950E+02
22,	03:07:55,	21,	1.589E+02,	2.300E+02,	1.990E+02
23,	03:07:56,	22,	1.657E+02,	2.400E+02,	2.060E+02
24,	03:07:58,	23,	1.691E+02,	2.500E+02,	2.160E+02
25,	03:07:59,	24,	1.725E+02,	2.580E+02,	2.270E+02
26,	03:08:00,	25,	1.794E+02,	2.730E+02,	2.380E+02
27,	03:08:01,	26,	1.828E+02,	2.840E+02,	2.500E+02
28,	03:08:03,	27,	1.863E+02,	2.940E+02,	2.610E+02
29,	03:08:04,	28,	1.897E+02,	3.080E+02,	2.690E+02
30,	03:08:05,	29,	1.966E+02,	3.180E+02,	2.820E+02
31,	03:08:07,	30,	1.999E+02,	3.260E+02,	2.910E+02
32,	03:08:08,	31,	2.053E+02,	3.370E+02,	3.000E+02
33,	03:08:09,	33,	2.088E+02,	3.500E+02,	3.160E+02
34,	03:08:10,	34,	2.122E+02,	3.550E+02,	3.280E+02
35,	03:08:12,	35,	2.190E+02,	3.680E+02,	3.350E+02
36,	03:08:13,	36,	2.225E+02,	3.740E+02,	3.430E+02
37,	03:08:14,	37,	2.260E+02,	3.840E+02,	3.550E+02
38,	03:08:16,	38,	2.293E+02,	3.900E+02,	3.650E+02
39,	03:08:17,	39,	2.361E+02,	4.000E+02,	3.800E+02
40,	03:08:18,	40,	2.396E+02,	4.190E+02,	3.900E+02
41,	03:08:20,	41,	2.430E+02,	4.410E+02,	4.010E+02
42,	03:08:21,	42,	2.498E+02,	4.580E+02,	4.070E+02
43,	03:08:22,	43,	2.532E+02,	4.780E+02,	4.240E+02
44,	03:08:24,	44,	2.566E+02,	4.920E+02,	4.450E+02
45,	03:08:25,	45,	2.634E+02,	4.990E+02,	4.610E+02
46,	03:08:26,	46,	2.669E+02,	5.070E+02,	4.780E+02
47,	03:08:27,	47,	2.703E+02,	5.310E+02,	4.890E+02
48,	03:08:29,	48,	2.738E+02,	5.350E+02,	5.110E+02
49,	03:08:30,	49,	2.805E+02,	5.660E+02,	5.260E+02
50,	03:08:31,	50,	2.840E+02,	5.700E+02,	5.460E+02
51,	03:08:33,	51,	2.874E+02,	5.830E+02,	5.550E+02
52,	03:08:34,	52,	2.943E+02,	6.170E+02,	5.770E+02
53,	03:08:35,	53,	2.977E+02,	6.490E+02,	5.910E+02
54,	03:08:37,	54,	3.011E+02,	6.700E+02,	6.090E+02
55,	03:08:38,	55,	3.079E+02,	6.780E+02,	6.280E+02
56,	03:08:39,	56,	3.113E+02,	6.980E+02,	6.600E+02
57,	03:08:40,	57,	3.147E+02,	7.280E+02,	6.760E+02
58,	03:08:42,	58,	3.181E+02,	7.500E+02,	6.990E+02
59,	03:08:43,	59,	3.250E+02,	7.700E+02,	7.230E+02
60,	03:08:44,	60,	3.284E+02,	8.030E+02,	7.480E+02
61,	03:08:46,	61,	3.319E+02,	7.950E+02,	7.870E+02
62,	03:08:47,	62,	3.388E+02,	8.280E+02,	8.120E+02
63,	03:08:48,	63,	3.420E+02,	8.460E+02,	8.380E+02
64,	03:08:50,	64,	3.455E+02,	8.720E+02,	8.360E+02
65,	03:08:51,	65,	3.524E+02,	8.860E+02,	8.780E+02
66,	03:08:52,	66,	3.557E+02,	9.190E+02,	9.010E+02
67,	03:08:54,	67,	3.592E+02,	9.390E+02,	9.330E+02
68,	03:08:55,	68,	3.660E+02,	9.730E+02,	9.490E+02
69,	03:08:56,	69,	3.694E+02,	9.840E+02,	9.810E+02
70,	03:08:58,	70,	3.727E+02,	9.990E+02,	9.990E+02
71,	03:08:59,	71,	3.796E+02,	9.990E+02,	1.000E+03
72,	03:09:00,	72,	3.831E+02,	9.990E+02,	9.990E+02
73,	03:09:02,	73,	3.863E+02,	9.980E+02,	9.990E+02
74,	03:09:03,	74,	3.932E+02,	1.000E+03,	1.000E+03
75,	03:09:04,	75,	3.966E+02,	9.980E+02,	1.000E+03
76,	03:09:05,	76,	4.000E+02,	9.980E+02,	9.990E+02
77,	03:09:07,	77,	4.068E+02,	9.980E+02,	9.990E+02
78,	03:09:08,	78,	4.102E+02,	9.990E+02,	9.990E+02
79,	03:09:10,	79,	4.136E+02,	9.990E+02,	9.990E+02
80,	03:09:11,	80,	4.203E+02,	9.980E+02,	9.990E+02
81,	03:09:12,	81,	4.237E+02,	9.990E+02,	9.990E+02
82,	03:09:14,	82,	4.271E+02,	9.980E+02,	9.990E+02
83,	03:09:15,	83,	4.338E+02,	9.980E+02,	9.990E+02
84,	03:09:16,	84,	4.372E+02,	9.980E+02,	1.000E+03
85,	03:09:17,	85,	4.406E+02,	9.980E+02,	1.000E+03
86,	03:09:19,	86,	4.474E+02,	9.990E+02,	9.990E+02
87,	03:09:20,	87,	4.507E+02,	9.990E+02,	9.990E+02
88,	03:09:21,	88,	4.541E+02,	9.990E+02,	9.990E+02
89,	03:09:23,	89,	4.575E+02,	9.990E+02,	9.990E+02
90,	03:09:24,	90,	4.642E+02,	9.980E+02,	9.990E+02
91,	03:09:25,	91,	4.675E+02,	9.980E+02,	9.990E+02
92,	03:09:27,	92,	4.709E+02,	9.990E+02,	9.990E+02
93,	03:09:28,	93,	4.776E+02,	9.990E+02,	1.000E+03
94,	03:09:29,	94,	4.809E+02,	9.990E+02,	9.990E+02
95,	03:09:31,	95,	4.843E+02,	9.990E+02,	9.990E+02
96,	03:09:32,	96,	4.910E+02,	9.980E+02,	1.000E+03
97,	03:09:33,	98,	4.942E+02,	9.990E+02,	9.990E+02
98,	03:09:35,	99,	4.976E+02,	9.980E+02,	9.990E+02
99,	03:09:36,	100,	5.042E+02,	9.980E+02,	9.990E+02
100,	03:09:37,	101,	5.076E+02,	9.990E+02,	1.000E+03
101,	03:09:39,	102,	5.109E+02,	9.990E+02,	9.990E+02
102,	03:09:40,	103,	5.175E+02,	9.990E+02,	1.000E+03
103,	03:09:41,	104,	5.208E+02,	9.990E+02,	9.990E+02
104,	03:09:43,	105,	5.241E+02,	9.990E+02,	9.990E+02
105,	03:09:44,	106,	5.307E+02,	9.980E+02,	9.990E+02
106,	03:09:45,	107,	5.339E+02,	9.990E+02,	1.000E+03
107,	03:09:47,	108,	5.373E+02,	9.990E+02,	9.990E+02
108,	03:09:48,	109,	5.438E+02,	9.980E+02,	1.000E+03
109,	03:09:49,	110,	5.471E+02,	9.980E+02,	1.000E+03
110,	03:09:50,	111,	5.503E+02,	9.990E+02,	9.990E+02
111,	03:09:52,	112,	5.568E+02,	9.990E+02,	9.990E+02
112,	03:09:53,	113,	5.601E+02,	9.980E+02,	9.990E+02
113,	03:09:54,	114,	5.633E+02,	9.980E+02,	9.990E+02
114,	03:09:56,	115,	5.698E+02,	9.980E+02,	9.990E+02
115,	03:09:57,	116,	5.731E+02,	9.980E+02,	9.990E+02
116,	03:09:58,	117,	5.763E+02,	9.980E+02,	9.990E+02
117,	03:10:00,	118,	5.827E+02,	9.980E+02,	9.990E+02
