No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
1,	02:36:40,	0,	5.100E-01,	1.510E+00,	1.440E+00
2,	02:36:42,	1,	5.100E-01,	1.510E+00,	1.450E+00
3,	02:36:43,	2,	5.100E-01,	1.520E+00,	1.450E+00
4,	02:36:44,	3,	5.100E-01,	1.520E+00,	1.450E+00
5,	02:36:46,	4,	5.100E-01,	1.520E+00,	1.450E+00
6,	02:36:47,	5,	5.100E-01,	1.520E+00,	1.450E+00
7,	02:36:48,	6,	5.200E-01,	1.520E+00,	1.450E+00
8,	02:36:50,	7,	5.100E-01,	1.520E+00,	1.450E+00
9,	02:36:51,	8,	5.100E-01,	1.520E+00,	1.450E+00
10,	02:36:52,	9,	5.100E-01,	1.520E+00,	1.450E+00
11,	02:36:54,	10,	5.100E-01,	1.520E+00,	1.450E+00
12,	02:36:55,	11,	7.400E-01,	1.520E+00,	1.450E+00
13,	02:36:56,	12,	1.000E+00,	1.530E+00,	1.460E+00
14,	02:36:57,	13,	1.400E+00,	1.530E+00,	1.460E+00
15,	02:36:59,	14,	1.500E+00,	1.540E+00,	1.470E+00
16,	02:37:00,	15,	1.600E+00,	1.560E+00,	1.480E+00
17,	02:37:01,	16,	1.700E+00,	1.570E+00,	1.500E+00
18,	02:37:03,	17,	1.700E+00,	1.580E+00,	1.510E+00
19,	02:37:04,	18,	1.800E+00,	1.590E+00,	1.520E+00
20,	02:37:05,	19,	1.800E+00,	1.600E+00,	1.530E+00
21,	02:37:06,	20,	1.800E+00,	1.620E+00,	1.540E+00
22,	02:37:08,	21,	1.800E+00,	1.630E+00,	1.550E+00
23,	02:37:09,	22,	1.800E+00,	1.640E+00,	1.570E+00
24,	02:37:10,	23,	1.900E+00,	1.660E+00,	1.580E+00
25,	02:37:12,	24,	1.900E+00,	1.670E+00,	1.590E+00
26,	02:37:13,	25,	1.900E+00,	1.680E+00,	1.600E+00
27,	02:37:14,	26,	1.900E+00,	1.700E+00,	1.610E+00
28,	02:37:16,	27,	1.900E+00,	1.710E+00,	1.630E+00
29,	02:37:17,	28,	1.900E+00,	1.720E+00,	1.640E+00
30,	02:37:18,	29,	1.900E+00,	1.740E+00,	1.650E+00
31,	02:37:19,	30,	2.000E+00,	1.750E+00,	1.660E+00
32,	02:37:21,	31,	2.000E+00,	1.760E+00,	1.680E+00
33,	02:37:22,	33,	2.000E+00,	1.770E+00,	1.690E+00
34,	02:37:23,	34,	2.000E+00,	1.790E+00,	1.700E+00
35,	02:37:25,	35,	2.000E+00,	1.800E+00,	1.720E+00
36,	02:37:26,	36,	2.000E+00,	1.810E+00,	1.730E+00
37,	02:37:27,	37,	2.000E+00,	1.830E+00,	1.740E+00
38,	02:37:29,	38,	2.100E+00,	1.840E+00,	1.750E+00
39,	02:37:30,	39,	2.100E+00,	1.860E+00,	1.770E+00
40,	02:37:31,	40,	2.100E+00,	1.870E+00,	1.780E+00
41,	02:37:33,	41,	2.100E+00,	1.880E+00,	1.790E+00
42,	02:37:34,	42,	2.100E+00,	1.900E+00,	1.800E+00
43,	02:37:35,	43,	2.100E+00,	1.910E+00,	1.820E+00
44,	02:37:37,	44,	2.100E+00,	1.920E+00,	1.830E+00
45,	02:37:38,	45,	2.100E+00,	1.930E+00,	1.840E+00
46,	02:37:39,	46,	2.100E+00,	1.950E+00,	1.850E+00
47,	02:37:40,	47,	2.200E+00,	1.960E+00,	1.860E+00
48,	02:37:42,	48,	2.200E+00,	1.980E+00,	1.880E+00
49,	02:37:43,	49,	2.200E+00,	1.990E+00,	1.890E+00
50,	02:37:44,	50,	2.200E+00,	2.000E+00,	1.900E+00
51,	02:37:46,	51,	2.200E+00,	2.010E+00,	1.920E+00
52,	02:37:47,	52,	2.200E+00,	2.030E+00,	1.930E+00
53,	02:37:48,	53,	2.200E+00,	2.040E+00,	1.940E+00
54,	02:37:49,	54,	2.300E+00,	2.050E+00,	1.950E+00
55,	02:37:51,	55,	2.300E+00,	2.070E+00,	1.970E+00
56,	02:37:52,	56,	2.300E+00,	2.080E+00,	1.980E+00
57,	02:37:53,	57,	2.300E+00,	2.090E+00,	1.990E+00
58,	02:37:55,	58,	2.300E+00,	2.100E+00,	2.000E+00
59,	02:37:56,	59,	2.400E+00,	2.120E+00,	2.020E+00
60,	02:37:57,	60,	2.400E+00,	2.130E+00,	2.030E+00
61,	02:37:59,	61,	2.400E+00,	2.140E+00,	2.040E+00
62,	02:38:00,	62,	2.400E+00,	2.160E+00,	2.060E+00
63,	02:38:01,	63,	2.400E+00,	2.170E+00,	2.070E+00
64,	02:38:03,	64,	2.400E+00,	2.180E+00,	2.080E+00
65,	02:38:04,	65,	2.500E+00,	2.200E+00,	2.090E+00
66,	02:38:05,	66,	2.500E+00,	2.210E+00,	2.110E+00
67,	02:38:07,	67,	2.500E+00,	2.220E+00,	2.120E+00
68,	02:38:08,	68,	2.500E+00,	2.240E+00,	2.130E+00
69,	02:38:09,	69,	2.500E+00,	2.250E+00,	2.140E+00
70,	02:38:11,	70,	2.500E+00,	2.260E+00,	2.160E+00
71,	02:38:12,	71,	2.600E+00,	2.280E+00,	2.170E+00
72,	02:38:13,	72,	2.600E+00,	2.290E+00,	2.180E+00
73,	02:38:15,	73,	2.600E+00,	2.310E+00,	2.190E+00
74,	02:38:16,	74,	2.600E+00,	2.320E+00,	2.210E+00
75,	02:38:17,	75,	2.600E+00,	2.330E+00,	2.220E+00
76,	02:38:19,	76,	2.600E+00,	2.350E+00,	2.230E+00
77,	02:38:20,	77,	2.700E+00,	2.360E+00,	2.240E+00
78,	02:38:21,	78,	2.700E+00,	2.370E+00,	2.260E+00
79,	02:38:23,	79,	2.700E+00,	2.390E+00,	2.270E+00
80,	02:38:24,	80,	2.700E+00,	2.400E+00,	2.280E+00
81,	02:38:25,	81,	2.700E+00,	2.410E+00,	2.290E+00
82,	02:38:27,	82,	2.700E+00,	2.420E+00,	2.310E+00
83,	02:38:28,	83,	2.700E+00,	2.440E+00,	2.320E+00
