No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
1,	04:07:59,	0,	3.300E-02,	2.000E-04,	1.440E-03
2,	04:08:01,	1,	3.200E-02,	2.000E-04,	1.440E-03
3,	04:08:02,	2,	3.200E-02,	2.000E-04,	1.440E-03
4,	04:08:03,	3,	3.300E-02,	2.010E-04,	1.430E-03
5,	04:08:05,	4,	3.200E-02,	2.010E-04,	1.440E-03
6,	04:08:06,	5,	3.200E-02,	2.000E-04,	1.440E-03
7,	04:08:07,	6,	3.200E-02,	2.000E-04,	1.430E-03
8,	04:08:09,	7,	3.200E-02,	2.010E-04,	1.430E-03
9,	04:08:10,	8,	3.200E-02,	2.000E-04,	1.430E-03
10,	04:08:11,	9,	3.100E-02,	1.530E-03,	1.500E-03
11,	04:08:12,	10,	2.400E-02,	1.720E-03,	1.620E-03
12,	04:08:14,	11,	2.200E-02,	1.860E-03,	1.780E-03
13,	04:08:15,	12,	2.000E-02,	2.000E-03,	1.910E-03
14,	04:08:16,	13,	1.800E-02,	2.120E-03,	2.040E-03
15,	04:08:18,	14,	1.800E-02,	2.270E-03,	2.190E-03
16,	04:08:19,	15,	1.700E-02,	2.420E-03,	2.310E-03
17,	04:08:20,	16,	1.700E-02,	2.570E-03,	2.480E-03
18,	04:08:21,	17,	1.600E-02,	2.740E-03,	2.670E-03
19,	04:08:23,	18,	1.600E-02,	2.930E-03,	2.830E-03
20,	04:08:24,	19,	1.600E-02,	3.100E-03,	2.960E-03
21,	04:08:25,	20,	1.600E-02,	3.260E-03,	3.130E-03
22,	04:08:27,	21,	1.600E-02,	3.410E-03,	3.290E-03
23,	04:08:28,	22,	1.600E-02,	3.500E-03,	3.450E-03
24,	04:08:29,	23,	1.600E-02,	3.700E-03,	3.610E-03
25,	04:08:30,	24,	1.500E-02,	3.840E-03,	3.750E-03
26,	04:08:32,	25,	1.500E-02,	3.990E-03,	3.930E-03
27,	04:08:33,	26,	1.500E-02,	4.140E-03,	4.070E-03
28,	04:08:34,	27,	1.500E-02,	4.340E-03,	4.270E-03
29,	04:08:36,	28,	1.500E-02,	4.500E-03,	4.460E-03
30,	04:08:37,	29,	1.300E-02,	4.700E-03,	4.630E-03
31,	04:08:38,	30,	1.300E-02,	4.870E-03,	4.810E-03
32,	04:08:39,	31,	1.300E-02,	5.060E-03,	5.040E-03
33,	04:08:41,	33,	1.300E-02,	5.170E-03,	5.280E-03
34,	04:08:42,	34,	1.300E-02,	5.210E-03,	5.440E-03
35,	04:08:43,	35,	1.300E-02,	5.300E-03,	5.610E-03
36,	04:08:45,	36,	1.300E-02,	5.440E-03,	5.750E-03
37,	04:08:46,	37,	1.300E-02,	5.600E-03,	5.910E-03
38,	04:08:47,	38,	1.300E-02,	5.750E-03,	6.050E-03
39,	04:08:49,	39,	1.300E-02,	5.890E-03,	6.170E-03
40,	04:08:50,	40,	1.300E-02,	6.020E-03,	6.370E-03
41,	04:08:51,	41,	1.300E-02,	6.190E-03,	6.510E-03
42,	04:08:52,	42,	1.300E-02,	6.340E-03,	6.670E-03
43,	04:08:54,	43,	1.300E-02,	6.490E-03,	6.860E-03
44,	04:08:55,	44,	1.300E-02,	6.640E-03,	7.060E-03
45,	04:08:56,	45,	1.300E-02,	6.890E-03,	7.300E-03
46,	04:08:58,	46,	1.300E-02,	7.120E-03,	7.470E-03
47,	04:08:59,	47,	1.300E-02,	7.440E-03,	7.690E-03
48,	04:09:00,	48,	1.200E-02,	7.640E-03,	7.820E-03
49,	04:09:01,	49,	1.200E-02,	7.790E-03,	8.040E-03
50,	04:09:03,	50,	1.200E-02,	8.020E-03,	8.160E-03
51,	04:09:04,	51,	1.200E-02,	8.180E-03,	8.440E-03
52,	04:09:05,	52,	1.200E-02,	8.400E-03,	8.640E-03
53,	04:09:07,	53,	1.200E-02,	8.580E-03,	8.840E-03
54,	04:09:08,	54,	1.200E-02,	8.730E-03,	9.060E-03
55,	04:09:09,	55,	1.200E-02,	8.940E-03,	9.310E-03
56,	04:09:10,	56,	1.200E-02,	9.150E-03,	9.580E-03
57,	04:09:12,	57,	1.200E-02,	9.380E-03,	9.770E-03
58,	04:09:13,	58,	1.200E-02,	9.610E-03,	9.930E-03
59,	04:09:14,	59,	1.200E-02,	9.840E-03,	1.010E-02
60,	04:09:16,	60,	1.200E-02,	1.000E-02,	1.030E-02
61,	04:09:17,	61,	1.200E-02,	1.020E-02,	1.050E-02
62,	04:09:18,	62,	1.200E-02,	1.020E-02,	1.050E-02
63,	04:09:20,	63,	1.200E-02,	1.030E-02,	1.070E-02
64,	04:09:21,	64,	1.200E-02,	1.050E-02,	1.080E-02
65,	04:09:22,	65,	1.200E-02,	1.050E-02,	1.090E-02
66,	04:09:24,	66,	1.200E-02,	1.060E-02,	1.100E-02
67,	04:09:25,	67,	1.200E-02,	1.080E-02,	1.110E-02
68,	04:09:26,	68,	1.200E-02,	1.090E-02,	1.130E-02
69,	04:09:28,	69,	1.200E-02,	1.100E-02,	1.140E-02
70,	04:09:29,	70,	1.200E-02,	1.110E-02,	1.150E-02
71,	04:09:30,	71,	1.200E-02,	1.120E-02,	1.160E-02
72,	04:09:32,	72,	1.200E-02,	1.140E-02,	1.170E-02
73,	04:09:33,	73,	1.200E-02,	1.150E-02,	1.180E-02
74,	04:09:34,	74,	1.200E-02,	1.160E-02,	1.200E-02
75,	04:09:36,	75,	1.200E-02,	1.170E-02,	1.210E-02
76,	04:09:37,	76,	1.200E-02,	1.180E-02,	1.220E-02
77,	04:09:38,	77,	1.200E-02,	1.190E-02,	1.230E-02
78,	04:09:40,	78,	1.200E-02,	1.200E-02,	1.250E-02
79,	04:09:41,	79,	1.200E-02,	1.210E-02,	1.260E-02
80,	04:09:42,	80,	1.200E-02,	1.230E-02,	1.280E-02
81,	04:09:44,	81,	1.200E-02,	1.240E-02,	1.290E-02
82,	04:09:45,	82,	1.200E-02,	1.260E-02,	1.300E-02
83,	04:09:46,	83,	1.200E-02,	1.270E-02,	1.310E-02
84,	04:09:48,	84,	1.200E-02,	1.280E-02,	1.330E-02
85,	04:09:49,	85,	1.200E-02,	1.300E-02,	1.340E-02
86,	04:09:50,	86,	1.200E-02,	1.310E-02,	1.350E-02
87,	04:09:52,	87,	1.200E-02,	1.320E-02,	1.360E-02
88,	04:09:53,	88,	1.200E-02,	1.340E-02,	1.370E-02
89,	04:09:54,	89,	1.200E-02,	1.360E-02,	1.390E-02
90,	04:09:55,	90,	1.200E-02,	1.370E-02,	1.400E-02
91,	04:09:57,	91,	1.200E-02,	1.380E-02,	1.410E-02
92,	04:09:58,	92,	1.200E-02,	1.390E-02,	1.430E-02
93,	04:09:59,	93,	1.200E-02,	1.410E-02,	1.450E-02
94,	04:10:01,	94,	1.200E-02,	1.430E-02,	1.460E-02
95,	04:10:02,	95,	1.200E-02,	1.440E-02,	1.470E-02
96,	04:10:03,	96,	1.200E-02,	1.460E-02,	1.490E-02
97,	04:10:05,	98,	1.200E-02,	1.470E-02,	1.500E-02
98,	04:10:06,	99,	1.200E-02,	1.480E-02,	1.510E-02
99,	04:10:07,	100,	1.200E-02,	1.500E-02,	1.520E-02
100,	04:10:09,	101,	1.200E-02,	1.520E-02,	1.530E-02
101,	04:10:10,	102,	1.200E-02,	1.530E-02,	1.550E-02
102,	04:10:11,	103,	1.200E-02,	1.550E-02,	1.560E-02
103,	04:10:13,	104,	1.200E-02,	1.570E-02,	1.580E-02
104,	04:10:14,	105,	1.200E-02,	1.590E-02,	1.590E-02
105,	04:10:15,	106,	1.200E-02,	1.610E-02,	1.610E-02
106,	04:10:17,	107,	1.200E-02,	1.630E-02,	1.620E-02
107,	04:10:18,	108,	1.200E-02,	1.640E-02,	1.630E-02
108,	04:10:19,	109,	1.200E-02,	1.660E-02,	1.650E-02
109,	04:10:21,	110,	1.200E-02,	1.670E-02,	1.670E-02
110,	04:10:22,	111,	1.200E-02,	1.690E-02,	1.680E-02
111,	04:10:23,	112,	1.100E-02,	1.710E-02,	1.700E-02
112,	04:10:25,	113,	1.200E-02,	1.730E-02,	1.710E-02
113,	04:10:26,	114,	1.100E-02,	1.740E-02,	1.730E-02
114,	04:10:27,	115,	1.100E-02,	1.760E-02,	1.750E-02
115,	04:10:29,	116,	1.100E-02,	1.780E-02,	1.760E-02
116,	04:10:30,	117,	1.100E-02,	1.800E-02,	1.780E-02
117,	04:10:32,	118,	1.100E-02,	1.820E-02,	1.800E-02
118,	04:10:33,	119,	1.100E-02,	1.840E-02,	1.820E-02
119,	04:10:34,	120,	1.100E-02,	1.860E-02,	1.840E-02
120,	04:10:36,	121,	1.100E-02,	1.870E-02,	1.850E-02
121,	04:10:37,	122,	1.100E-02,	1.880E-02,	1.860E-02
122,	04:10:38,	123,	1.100E-02,	1.890E-02,	1.880E-02
