No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
1,	02:15:19,	0,	4.500E-01,	1.400E+00,	1.340E+00
2,	02:15:20,	1,	4.500E-01,	1.390E+00,	1.330E+00
3,	02:15:22,	2,	4.500E-01,	1.390E+00,	1.330E+00
4,	02:15:23,	3,	4.600E-01,	1.380E+00,	1.320E+00
5,	02:15:24,	4,	4.500E-01,	1.370E+00,	1.310E+00
6,	02:15:25,	5,	4.500E-01,	1.360E+00,	1.300E+00
7,	02:15:27,	6,	4.500E-01,	1.350E+00,	1.300E+00
8,	02:15:28,	7,	4.400E-01,	1.340E+00,	1.290E+00
9,	02:15:29,	8,	4.400E-01,	1.330E+00,	1.280E+00
10,	02:15:31,	9,	4.400E-01,	1.320E+00,	1.270E+00
11,	02:15:32,	10,	4.300E-01,	1.310E+00,	1.260E+00
12,	02:15:33,	11,	4.300E-01,	1.300E+00,	1.250E+00
13,	02:15:35,	12,	4.300E-01,	1.290E+00,	1.240E+00
14,	02:15:36,	13,	4.300E-01,	1.280E+00,	1.230E+00
15,	02:15:37,	14,	4.200E-01,	1.270E+00,	1.220E+00
16,	02:15:38,	15,	4.200E-01,	1.270E+00,	1.220E+00
17,	02:15:40,	16,	4.100E-01,	1.260E+00,	1.210E+00
18,	02:15:41,	17,	4.100E-01,	1.250E+00,	1.200E+00
19,	02:15:42,	18,	4.000E-01,	1.240E+00,	1.190E+00
20,	02:15:44,	19,	4.000E-01,	1.230E+00,	1.180E+00
21,	02:15:45,	20,	4.000E-01,	1.220E+00,	1.170E+00
22,	02:15:46,	21,	4.000E-01,	1.210E+00,	1.160E+00
23,	02:15:47,	22,	4.000E-01,	1.200E+00,	1.160E+00
24,	02:15:49,	23,	3.900E-01,	1.200E+00,	1.150E+00
25,	02:15:50,	24,	3.900E-01,	1.190E+00,	1.140E+00
26,	02:15:51,	25,	3.900E-01,	1.180E+00,	1.130E+00
27,	02:15:53,	26,	3.900E-01,	1.170E+00,	1.130E+00
28,	02:15:54,	27,	3.900E-01,	1.160E+00,	1.120E+00
29,	02:15:55,	28,	3.800E-01,	1.150E+00,	1.110E+00
30,	02:15:56,	29,	3.800E-01,	1.150E+00,	1.110E+00
31,	02:15:58,	30,	3.800E-01,	1.140E+00,	1.100E+00
32,	02:15:59,	31,	3.700E-01,	1.130E+00,	1.090E+00
33,	02:16:00,	33,	3.700E-01,	1.120E+00,	1.080E+00
34,	02:16:02,	34,	3.700E-01,	1.120E+00,	1.080E+00
35,	02:16:03,	35,	3.600E-01,	1.110E+00,	1.070E+00
36,	02:16:04,	36,	2.900E-01,	1.110E+00,	1.070E+00
37,	02:16:06,	37,	2.300E-01,	1.110E+00,	1.070E+00
38,	02:16:07,	38,	1.800E-01,	1.110E+00,	1.070E+00
39,	02:16:08,	39,	1.200E-01,	1.110E+00,	1.070E+00
40,	02:16:09,	40,	1.000E-01,	1.110E+00,	1.070E+00
41,	02:16:11,	41,	8.900E-02,	1.110E+00,	1.070E+00
42,	02:16:12,	42,	6.900E-02,	1.110E+00,	1.070E+00
43,	02:16:13,	43,	6.300E-02,	1.110E+00,	1.070E+00
44,	02:16:15,	44,	5.700E-02,	1.110E+00,	1.070E+00
45,	02:16:16,	45,	4.700E-02,	1.110E+00,	1.070E+00
