No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
1,	02:21:00,	0,	3.500E-01,	1.070E+00,	1.030E+00
2,	02:21:01,	1,	3.400E-01,	1.060E+00,	1.020E+00
3,	02:21:03,	2,	3.400E-01,	1.050E+00,	1.010E+00
4,	02:21:04,	3,	3.400E-01,	1.040E+00,	1.010E+00
5,	02:21:05,	4,	3.400E-01,	1.040E+00,	1.000E+00
6,	02:21:06,	5,	3.400E-01,	1.030E+00,	9.930E-01
7,	02:21:08,	6,	6.400E-01,	1.030E+00,	9.880E-01
8,	02:21:09,	7,	7.700E-01,	1.020E+00,	9.840E-01
9,	02:21:10,	8,	8.700E-01,	1.020E+00,	9.820E-01
10,	02:21:12,	9,	9.900E-01,	1.020E+00,	9.800E-01
11,	02:21:13,	10,	1.000E+00,	1.020E+00,	9.780E-01
12,	02:21:14,	11,	1.100E+00,	1.020E+00,	9.770E-01
13,	02:21:15,	12,	1.100E+00,	1.020E+00,	9.770E-01
14,	02:21:17,	13,	1.100E+00,	1.010E+00,	9.770E-01
15,	02:21:18,	14,	1.100E+00,	1.010E+00,	9.760E-01
16,	02:21:19,	15,	1.100E+00,	1.020E+00,	9.760E-01
17,	02:21:21,	16,	1.100E+00,	1.010E+00,	9.760E-01
18,	02:21:22,	17,	1.200E+00,	1.010E+00,	9.760E-01
19,	02:21:23,	18,	1.200E+00,	1.010E+00,	9.750E-01
20,	02:21:24,	19,	1.200E+00,	1.010E+00,	9.760E-01
21,	02:21:26,	20,	1.200E+00,	1.010E+00,	9.760E-01
22,	02:21:27,	21,	1.200E+00,	1.020E+00,	9.760E-01
23,	02:21:28,	22,	1.200E+00,	1.010E+00,	9.760E-01
24,	02:21:30,	23,	1.200E+00,	1.010E+00,	9.760E-01
25,	02:21:31,	24,	1.200E+00,	1.010E+00,	9.760E-01
26,	02:21:32,	25,	1.200E+00,	1.010E+00,	9.760E-01
27,	02:21:34,	26,	1.200E+00,	1.010E+00,	9.760E-01
28,	02:21:35,	27,	1.200E+00,	1.020E+00,	9.760E-01
29,	02:21:36,	28,	1.200E+00,	1.020E+00,	9.760E-01
30,	02:21:37,	29,	1.200E+00,	1.020E+00,	9.760E-01
31,	02:21:39,	30,	1.200E+00,	1.020E+00,	9.760E-01
32,	02:21:40,	31,	1.200E+00,	1.020E+00,	9.760E-01
33,	02:21:41,	33,	1.200E+00,	1.020E+00,	9.760E-01
34,	02:21:43,	34,	1.200E+00,	1.020E+00,	9.760E-01
35,	02:21:44,	35,	1.200E+00,	1.010E+00,	9.760E-01
36,	02:21:45,	36,	1.200E+00,	1.020E+00,	9.770E-01
37,	02:21:47,	37,	1.200E+00,	1.020E+00,	9.760E-01
38,	02:21:48,	38,	1.200E+00,	1.020E+00,	9.760E-01
39,	02:21:49,	39,	1.200E+00,	1.020E+00,	9.770E-01
40,	02:21:51,	40,	1.200E+00,	1.020E+00,	9.770E-01
41,	02:21:52,	41,	1.200E+00,	1.020E+00,	9.760E-01
42,	02:21:53,	42,	1.200E+00,	1.020E+00,	9.770E-01
43,	02:21:54,	43,	1.200E+00,	1.020E+00,	9.770E-01
44,	02:21:56,	44,	1.200E+00,	1.020E+00,	9.770E-01
45,	02:21:57,	45,	1.200E+00,	1.020E+00,	9.760E-01
46,	02:21:58,	46,	1.200E+00,	1.020E+00,	9.770E-01
47,	02:22:00,	47,	1.200E+00,	1.020E+00,	9.770E-01
48,	02:22:01,	48,	1.200E+00,	1.020E+00,	9.770E-01
49,	02:22:02,	49,	1.200E+00,	1.020E+00,	9.770E-01
50,	02:22:04,	50,	1.200E+00,	1.020E+00,	9.770E-01
51,	02:22:05,	51,	1.200E+00,	1.020E+00,	9.770E-01
52,	02:22:06,	52,	1.200E+00,	1.020E+00,	9.770E-01
53,	02:22:08,	53,	1.200E+00,	1.020E+00,	9.770E-01
54,	02:22:09,	54,	1.200E+00,	1.020E+00,	9.770E-01
55,	02:22:10,	55,	1.200E+00,	1.020E+00,	9.770E-01
56,	02:22:11,	56,	1.200E+00,	1.020E+00,	9.770E-01
57,	02:22:13,	57,	1.200E+00,	1.020E+00,	9.770E-01
58,	02:22:14,	58,	1.200E+00,	1.020E+00,	9.770E-01
59,	02:22:15,	59,	1.200E+00,	1.020E+00,	9.770E-01
60,	02:22:17,	60,	1.200E+00,	1.020E+00,	9.780E-01
61,	02:22:18,	61,	1.200E+00,	1.020E+00,	9.780E-01
62,	02:22:19,	62,	1.200E+00,	1.020E+00,	9.780E-01
63,	02:22:21,	63,	1.200E+00,	1.020E+00,	9.780E-01
64,	02:22:22,	64,	1.200E+00,	1.020E+00,	9.780E-01
65,	02:22:23,	65,	1.200E+00,	1.020E+00,	9.780E-01
66,	02:22:25,	66,	1.200E+00,	1.020E+00,	9.780E-01
67,	02:22:26,	67,	1.200E+00,	1.020E+00,	9.780E-01
68,	02:22:27,	68,	1.200E+00,	1.020E+00,	9.780E-01
69,	02:22:29,	69,	1.200E+00,	1.020E+00,	9.780E-01
70,	02:22:30,	70,	1.200E+00,	1.020E+00,	9.780E-01
71,	02:22:31,	71,	1.200E+00,	1.020E+00,	9.780E-01
72,	02:22:33,	72,	1.200E+00,	1.020E+00,	9.780E-01
73,	02:22:34,	73,	1.200E+00,	1.020E+00,	9.780E-01
74,	02:22:35,	74,	1.200E+00,	1.020E+00,	9.780E-01
75,	02:22:37,	75,	1.200E+00,	1.020E+00,	9.780E-01
76,	02:22:38,	76,	1.200E+00,	1.020E+00,	9.780E-01
77,	02:22:39,	77,	1.200E+00,	1.020E+00,	9.780E-01
78,	02:22:41,	78,	1.200E+00,	1.020E+00,	9.780E-01
79,	02:22:42,	79,	1.200E+00,	1.020E+00,	9.790E-01
80,	02:22:43,	80,	1.200E+00,	1.020E+00,	9.780E-01
81,	02:22:45,	81,	1.200E+00,	1.020E+00,	9.780E-01
82,	02:22:46,	82,	1.200E+00,	1.020E+00,	9.790E-01
83,	02:22:48,	83,	1.200E+00,	1.020E+00,	9.790E-01
84,	02:22:49,	84,	1.200E+00,	1.020E+00,	9.790E-01
85,	02:22:50,	85,	1.200E+00,	1.020E+00,	9.790E-01
86,	02:22:52,	86,	1.200E+00,	1.020E+00,	9.790E-01
87,	02:22:53,	87,	1.200E+00,	1.020E+00,	9.790E-01
88,	02:22:54,	88,	1.200E+00,	1.020E+00,	9.790E-01
89,	02:22:55,	89,	1.200E+00,	1.020E+00,	9.790E-01
90,	02:22:57,	90,	1.200E+00,	1.020E+00,	9.790E-01
91,	02:22:58,	91,	1.200E+00,	1.020E+00,	9.790E-01
92,	02:22:59,	92,	1.200E+00,	1.020E+00,	9.790E-01
93,	02:23:01,	93,	1.200E+00,	1.020E+00,	9.790E-01
94,	02:23:02,	94,	1.200E+00,	1.020E+00,	9.790E-01
95,	02:23:03,	95,	1.200E+00,	1.020E+00,	9.790E-01
96,	02:23:05,	96,	1.200E+00,	1.020E+00,	9.790E-01
97,	02:23:06,	98,	1.200E+00,	1.020E+00,	9.800E-01
98,	02:23:07,	99,	1.200E+00,	1.020E+00,	9.800E-01
99,	02:23:09,	100,	1.200E+00,	1.020E+00,	9.800E-01
100,	02:23:10,	101,	1.200E+00,	1.020E+00,	9.800E-01
101,	02:23:11,	102,	1.200E+00,	1.020E+00,	9.800E-01
102,	02:23:13,	103,	1.200E+00,	1.020E+00,	9.800E-01
103,	02:23:14,	104,	1.200E+00,	1.020E+00,	9.790E-01
104,	02:23:16,	105,	1.200E+00,	1.020E+00,	9.800E-01
105,	02:23:17,	106,	1.200E+00,	1.020E+00,	9.800E-01
106,	02:23:18,	107,	1.200E+00,	1.020E+00,	9.800E-01
107,	02:23:20,	108,	1.200E+00,	1.020E+00,	9.800E-01
108,	02:23:21,	109,	1.200E+00,	1.020E+00,	9.800E-01
109,	02:23:22,	110,	1.200E+00,	1.020E+00,	9.800E-01
110,	02:23:24,	111,	1.200E+00,	1.020E+00,	9.800E-01
111,	02:23:25,	112,	1.200E+00,	1.020E+00,	9.800E-01
112,	02:23:26,	113,	1.200E+00,	1.020E+00,	9.800E-01
113,	02:23:28,	114,	1.200E+00,	1.020E+00,	9.800E-01
114,	02:23:29,	115,	1.200E+00,	1.020E+00,	9.800E-01
115,	02:23:30,	116,	1.200E+00,	1.020E+00,	9.800E-01
116,	02:23:32,	117,	1.200E+00,	1.020E+00,	9.800E-01
117,	02:23:33,	118,	1.200E+00,	1.020E+00,	9.800E-01
118,	02:23:35,	119,	1.200E+00,	1.020E+00,	9.800E-01
119,	02:23:36,	120,	1.200E+00,	1.020E+00,	9.800E-01
120,	02:23:37,	121,	1.200E+00,	1.020E+00,	9.800E-01
121,	02:23:39,	122,	1.200E+00,	1.020E+00,	9.800E-01
122,	02:23:40,	123,	1.200E+00,	1.020E+00,	9.800E-01
123,	02:23:41,	124,	1.200E+00,	1.020E+00,	9.810E-01
124,	02:23:43,	125,	1.200E+00,	1.020E+00,	9.800E-01
125,	02:23:44,	126,	1.200E+00,	1.020E+00,	9.810E-01
126,	02:23:45,	127,	1.200E+00,	1.020E+00,	9.810E-01
127,	02:23:47,	128,	1.200E+00,	1.020E+00,	9.810E-01
128,	02:23:48,	129,	1.200E+00,	1.020E+00,	9.810E-01
129,	02:23:50,	130,	1.200E+00,	1.020E+00,	9.810E-01
130,	02:23:51,	131,	1.200E+00,	1.020E+00,	9.810E-01
131,	02:23:52,	132,	1.200E+00,	1.020E+00,	9.810E-01
132,	02:23:54,	133,	1.200E+00,	1.020E+00,	9.810E-01
133,	02:23:55,	134,	1.200E+00,	1.020E+00,	9.810E-01
134,	02:23:57,	135,	1.200E+00,	1.020E+00,	9.810E-01
135,	02:23:58,	136,	1.200E+00,	1.020E+00,	9.810E-01
136,	02:23:59,	137,	1.200E+00,	1.020E+00,	9.810E-01
137,	02:24:01,	138,	1.200E+00,	1.020E+00,	9.810E-01
