No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
1,	12:28:53,	0,	1.400E-01,	5.180E-03,	5.050E-03
2,	12:28:55,	1,	1.400E-01,	5.180E-03,	5.040E-03
3,	12:28:56,	2,	1.400E-01,	5.190E-03,	5.050E-03
4,	12:28:57,	3,	1.400E-01,	5.180E-03,	5.060E-03
5,	12:28:59,	4,	1.400E-01,	5.180E-03,	5.050E-03
6,	12:29:00,	5,	1.400E-01,	5.180E-03,	5.060E-03
7,	12:29:01,	6,	1.400E-01,	5.180E-03,	5.050E-03
8,	12:29:02,	7,	1.400E-01,	5.190E-03,	5.060E-03
9,	12:29:04,	8,	1.400E-01,	5.190E-03,	5.230E-03
10,	12:29:05,	9,	1.400E-01,	5.090E-03,	2.230E-03
11,	12:29:06,	10,	1.200E-01,	4.980E-03,	1.050E-03
12,	12:29:08,	11,	1.000E-01,	5.200E-03,	5.580E-04
13,	12:29:09,	12,	8.500E-02,	5.550E-03,	3.620E-04
14,	12:29:10,	13,	7.100E-02,	1.000E-02,	2.570E-04
15,	12:29:11,	14,	5.000E-02,	9.990E-03,	1.820E-04
16,	12:29:13,	15,	4.200E-02,	9.990E-03,	1.280E-04
17,	12:29:14,	16,	3.600E-02,	9.990E-03,	9.320E-05
18,	12:29:15,	17,	2.600E-02,	9.990E-03,	8.190E-05
19,	12:29:17,	18,	2.300E-02,	1.000E-02,	6.050E-05
20,	12:29:18,	19,	2.000E-02,	9.990E-03,	4.700E-05
21,	12:29:19,	20,	1.700E-02,	9.990E-03,	3.770E-05
22,	12:29:21,	21,	1.600E-02,	9.990E-03,	3.940E-05
23,	12:29:22,	22,	1.500E-02,	9.990E-03,	3.400E-05
24,	12:29:23,	23,	1.300E-02,	9.990E-03,	3.080E-05
25,	12:29:24,	24,	1.100E-02,	9.990E-03,	2.840E-05
26,	12:29:26,	25,	1.100E-02,	9.990E-03,	2.660E-05
27,	12:29:27,	26,	1.100E-02,	9.990E-03,	2.520E-05
28,	12:29:28,	27,	1.000E-02,	9.990E-03,	2.400E-05
29,	12:29:30,	28,	1.000E-02,	9.990E-03,	2.280E-05
30,	12:29:31,	29,	1.000E-02,	9.990E-03,	2.210E-05
31,	12:29:32,	30,	9.900E-03,	1.000E-02,	2.150E-05
32,	12:29:34,	31,	9.900E-03,	1.000E-02,	2.100E-05
33,	12:29:35,	33,	9.800E-03,	1.000E-02,	2.060E-05
34,	12:29:36,	34,	9.800E-03,	9.990E-03,	2.020E-05
35,	12:29:37,	35,	9.700E-03,	1.000E-02,	1.980E-05
36,	12:29:39,	36,	9.700E-03,	9.990E-03,	1.950E-05
37,	12:29:40,	37,	9.700E-03,	9.990E-03,	1.920E-05
38,	12:29:41,	38,	9.700E-03,	1.000E-02,	1.890E-05
39,	12:29:43,	39,	9.600E-03,	9.990E-03,	1.870E-05
40,	12:29:44,	40,	9.700E-03,	1.000E-02,	1.850E-05
41,	12:29:45,	41,	9.700E-03,	9.990E-03,	1.820E-05
42,	12:29:47,	42,	9.700E-03,	1.000E-02,	1.800E-05
