No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
1,	12:49:11,	0,	1.400E-02,	9.990E-03,	1.060E-04
2,	12:49:12,	1,	1.400E-02,	9.990E-03,	1.060E-04
3,	12:49:14,	2,	1.400E-02,	1.000E-02,	1.060E-04
4,	12:49:15,	3,	1.400E-02,	9.990E-03,	1.050E-04
5,	12:49:16,	4,	1.400E-02,	9.990E-03,	1.050E-04
6,	12:49:18,	5,	1.400E-02,	9.990E-03,	1.050E-04
7,	12:49:19,	6,	1.400E-02,	9.990E-03,	1.050E-04
8,	12:49:20,	7,	1.400E-02,	9.990E-03,	1.050E-04
9,	12:49:21,	8,	1.400E-02,	9.990E-03,	1.050E-04
10,	12:49:23,	9,	1.400E-02,	9.990E-03,	1.050E-04
11,	12:49:24,	10,	1.400E-02,	9.990E-03,	1.150E-04
12,	12:49:25,	11,	1.200E-02,	1.000E-02,	1.130E-04
13,	12:49:27,	12,	1.100E-02,	9.990E-03,	1.330E-04
14,	12:49:28,	13,	1.000E-02,	9.990E-03,	1.520E-04
15,	12:49:29,	14,	9.300E-03,	9.990E-03,	1.720E-04
16,	12:49:30,	15,	9.000E-03,	9.990E-03,	1.900E-04
17,	12:49:32,	16,	8.700E-03,	9.990E-03,	2.070E-04
18,	12:49:33,	17,	8.600E-03,	9.990E-03,	2.250E-04
19,	12:49:34,	18,	8.300E-03,	9.980E-03,	2.430E-04
20,	12:49:36,	19,	8.300E-03,	9.990E-03,	2.600E-04
21,	12:49:37,	20,	8.200E-03,	9.980E-03,	2.790E-04
22,	12:49:38,	21,	8.100E-03,	9.990E-03,	2.970E-04
23,	12:49:40,	22,	8.100E-03,	5.560E-03,	3.130E-04
24,	12:49:41,	23,	8.100E-03,	5.500E-03,	3.310E-04
25,	12:49:42,	24,	8.100E-03,	5.460E-03,	3.490E-04
26,	12:49:43,	25,	8.100E-03,	5.410E-03,	3.670E-04
27,	12:49:45,	26,	8.000E-03,	5.380E-03,	3.850E-04
28,	12:49:46,	27,	8.000E-03,	5.330E-03,	4.010E-04
29,	12:49:47,	28,	8.000E-03,	5.290E-03,	4.180E-04
30,	12:49:49,	29,	8.000E-03,	5.250E-03,	4.260E-04
31,	12:49:50,	30,	8.000E-03,	5.230E-03,	4.440E-04
32,	12:49:51,	31,	8.000E-03,	5.190E-03,	4.610E-04
33,	12:49:53,	33,	7.900E-03,	5.140E-03,	4.800E-04
34,	12:49:54,	34,	8.000E-03,	5.140E-03,	4.990E-04
35,	12:49:55,	35,	7.900E-03,	5.120E-03,	5.170E-04
36,	12:49:56,	36,	7.900E-03,	5.090E-03,	5.360E-04
37,	12:49:58,	37,	7.900E-03,	5.080E-03,	5.550E-04
38,	12:49:59,	38,	7.900E-03,	5.060E-03,	5.770E-04
39,	12:50:00,	39,	7.900E-03,	5.040E-03,	6.000E-04
40,	12:50:02,	40,	7.900E-03,	5.020E-03,	6.280E-04
41,	12:50:03,	41,	7.900E-03,	5.010E-03,	6.550E-04
42,	12:50:04,	42,	7.900E-03,	5.000E-03,	6.830E-04
43,	12:50:06,	43,	7.900E-03,	4.990E-03,	7.090E-04
44,	12:50:07,	44,	7.900E-03,	4.980E-03,	7.360E-04
45,	12:50:08,	45,	7.900E-03,	4.980E-03,	7.730E-04
46,	12:50:10,	46,	7.900E-03,	4.970E-03,	8.000E-04
47,	12:50:11,	47,	7.900E-03,	4.970E-03,	8.350E-04
48,	12:50:12,	48,	7.900E-03,	4.970E-03,	8.700E-04
49,	12:50:14,	49,	7.900E-03,	4.970E-03,	9.000E-04
50,	12:50:15,	50,	7.900E-03,	4.980E-03,	9.360E-04
51,	12:50:16,	51,	7.900E-03,	4.970E-03,	9.650E-04
52,	12:50:18,	52,	7.900E-03,	4.980E-03,	1.010E-03
53,	12:50:19,	53,	7.900E-03,	4.980E-03,	1.040E-03
54,	12:50:20,	54,	7.800E-03,	4.990E-03,	1.070E-03
55,	12:50:21,	55,	7.800E-03,	5.000E-03,	1.100E-03
56,	12:50:23,	56,	7.800E-03,	5.000E-03,	1.130E-03
57,	12:50:24,	57,	7.800E-03,	5.010E-03,	1.170E-03
58,	12:50:25,	58,	7.800E-03,	5.020E-03,	1.200E-03
59,	12:50:27,	59,	7.800E-03,	5.030E-03,	1.230E-03
60,	12:50:28,	60,	7.800E-03,	5.030E-03,	1.270E-03
61,	12:50:29,	61,	7.800E-03,	5.040E-03,	1.290E-03
62,	12:50:31,	62,	7.800E-03,	5.050E-03,	1.330E-03
63,	12:50:32,	63,	7.800E-03,	5.050E-03,	1.370E-03
64,	12:50:33,	64,	7.800E-03,	5.070E-03,	1.410E-03
65,	12:50:35,	65,	7.800E-03,	5.080E-03,	1.450E-03
66,	12:50:36,	66,	7.800E-03,	5.090E-03,	1.490E-03
67,	12:50:37,	67,	7.800E-03,	5.100E-03,	1.520E-03
68,	12:50:39,	68,	7.800E-03,	5.120E-03,	1.550E-03
69,	12:50:40,	69,	7.800E-03,	5.130E-03,	1.590E-03
70,	12:50:41,	70,	7.800E-03,	5.150E-03,	1.640E-03
71,	12:50:43,	71,	7.800E-03,	5.160E-03,	1.680E-03
72,	12:50:44,	72,	7.800E-03,	5.160E-03,	1.720E-03
73,	12:50:45,	73,	7.800E-03,	5.180E-03,	1.780E-03
74,	12:50:47,	74,	7.800E-03,	5.210E-03,	1.820E-03
75,	12:50:48,	75,	7.800E-03,	5.230E-03,	1.860E-03
76,	12:50:49,	76,	7.800E-03,	5.260E-03,	1.910E-03
77,	12:50:51,	77,	7.800E-03,	5.270E-03,	1.950E-03
78,	12:50:52,	78,	7.800E-03,	5.290E-03,	2.000E-03
79,	12:50:53,	79,	7.800E-03,	5.320E-03,	2.030E-03
80,	12:50:55,	80,	7.800E-03,	5.340E-03,	2.070E-03
81,	12:50:56,	81,	7.800E-03,	5.380E-03,	2.120E-03
82,	12:50:58,	82,	7.800E-03,	5.390E-03,	2.170E-03
83,	12:50:59,	83,	7.800E-03,	5.410E-03,	2.200E-03
84,	12:51:00,	84,	7.800E-03,	5.460E-03,	2.240E-03
85,	12:51:01,	85,	7.800E-03,	5.480E-03,	2.290E-03
86,	12:51:03,	86,	7.800E-03,	5.490E-03,	2.350E-03
87,	12:51:04,	87,	7.800E-03,	5.520E-03,	2.390E-03
88,	12:51:05,	88,	7.800E-03,	5.550E-03,	2.410E-03
89,	12:51:07,	89,	7.800E-03,	5.570E-03,	2.450E-03
90,	12:51:08,	90,	7.800E-03,	5.580E-03,	2.520E-03
91,	12:51:10,	91,	7.800E-03,	5.610E-03,	2.600E-03
92,	12:51:11,	92,	7.800E-03,	5.640E-03,	2.650E-03
93,	12:51:12,	93,	7.800E-03,	5.660E-03,	2.680E-03
94,	12:51:14,	94,	7.800E-03,	5.700E-03,	2.750E-03
95,	12:51:15,	95,	7.800E-03,	5.730E-03,	2.820E-03
96,	12:51:16,	96,	7.800E-03,	5.750E-03,	2.880E-03
97,	12:51:18,	98,	7.800E-03,	5.770E-03,	2.920E-03
98,	12:51:19,	99,	7.800E-03,	5.800E-03,	2.960E-03
99,	12:51:20,	100,	7.800E-03,	5.820E-03,	3.020E-03
100,	12:51:22,	101,	7.800E-03,	5.830E-03,	3.060E-03
101,	12:51:23,	102,	7.800E-03,	5.850E-03,	3.100E-03
102,	12:51:24,	103,	7.700E-03,	5.870E-03,	3.180E-03
103,	12:51:26,	104,	7.800E-03,	5.910E-03,	3.220E-03
104,	12:51:27,	105,	7.800E-03,	5.960E-03,	3.260E-03
105,	12:51:28,	106,	7.800E-03,	5.980E-03,	3.290E-03
106,	12:51:30,	107,	7.800E-03,	6.000E-03,	3.350E-03
107,	12:51:31,	108,	7.800E-03,	6.040E-03,	3.400E-03
108,	12:51:32,	109,	7.800E-03,	6.050E-03,	3.460E-03
109,	12:51:34,	110,	7.800E-03,	6.100E-03,	3.500E-03
110,	12:51:35,	111,	7.700E-03,	6.130E-03,	3.560E-03
111,	12:51:36,	112,	7.700E-03,	6.150E-03,	3.610E-03
112,	12:51:38,	113,	7.700E-03,	6.160E-03,	3.680E-03
113,	12:51:39,	114,	7.700E-03,	6.220E-03,	3.740E-03
114,	12:51:41,	115,	7.700E-03,	6.260E-03,	3.770E-03
115,	12:51:42,	116,	7.700E-03,	6.290E-03,	3.840E-03
116,	12:51:43,	117,	7.700E-03,	6.330E-03,	3.900E-03
117,	12:51:45,	118,	7.700E-03,	6.370E-03,	3.940E-03
118,	12:51:46,	119,	7.800E-03,	6.410E-03,	4.020E-03
119,	12:51:47,	120,	7.700E-03,	6.440E-03,	4.060E-03
120,	12:51:49,	121,	7.700E-03,	6.480E-03,	4.120E-03
121,	12:51:50,	122,	7.700E-03,	6.510E-03,	4.140E-03
