No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
1,	12:39:26,	0,	1.100E-02,	9.990E-03,	4.890E-05
2,	12:39:28,	1,	1.100E-02,	9.990E-03,	4.750E-05
3,	12:39:29,	2,	1.100E-02,	9.990E-03,	4.750E-05
4,	12:39:31,	3,	1.100E-02,	9.990E-03,	4.870E-05
5,	12:39:32,	4,	1.100E-02,	9.990E-03,	5.050E-05
6,	12:39:33,	5,	1.100E-02,	9.990E-03,	5.130E-05
7,	12:39:34,	6,	1.100E-02,	9.990E-03,	5.100E-05
8,	12:39:36,	7,	1.100E-02,	9.990E-03,	5.080E-05
9,	12:39:37,	8,	1.100E-02,	9.990E-03,	5.050E-05
10,	12:39:38,	9,	1.100E-02,	9.990E-03,	5.040E-05
11,	12:39:40,	10,	1.100E-02,	9.990E-03,	5.040E-05
12,	12:39:41,	11,	1.100E-02,	9.990E-03,	5.020E-05
13,	12:39:42,	12,	1.100E-02,	9.990E-03,	5.010E-05
14,	12:39:43,	13,	1.100E-02,	9.990E-03,	5.010E-05
15,	12:39:45,	14,	1.100E-02,	9.990E-03,	4.990E-05
16,	12:39:46,	15,	1.100E-02,	9.980E-03,	4.990E-05
17,	12:39:47,	16,	1.100E-02,	9.990E-03,	4.990E-05
18,	12:39:49,	17,	1.100E-02,	9.990E-03,	5.050E-05
19,	12:39:50,	18,	1.100E-02,	9.990E-03,	6.260E-05
20,	12:39:51,	19,	9.700E-03,	9.990E-03,	7.550E-05
21,	12:39:53,	20,	9.300E-03,	9.990E-03,	8.760E-05
22,	12:39:54,	21,	9.100E-03,	9.990E-03,	9.970E-05
23,	12:39:55,	22,	8.900E-03,	1.000E-02,	1.120E-04
24,	12:39:56,	23,	8.600E-03,	9.990E-03,	1.240E-04
25,	12:39:58,	24,	8.600E-03,	9.990E-03,	1.350E-04
26,	12:39:59,	25,	8.500E-03,	9.990E-03,	1.420E-04
27,	12:40:00,	26,	8.400E-03,	9.990E-03,	1.240E-04
28,	12:40:02,	27,	8.400E-03,	1.000E-02,	1.330E-04
29,	12:40:03,	28,	8.400E-03,	9.990E-03,	1.410E-04
30,	12:40:04,	29,	8.400E-03,	9.990E-03,	1.490E-04
31,	12:40:05,	30,	8.300E-03,	9.990E-03,	1.580E-04
32,	12:40:07,	31,	8.300E-03,	9.990E-03,	1.670E-04
33,	12:40:08,	33,	8.300E-03,	9.990E-03,	1.750E-04
34,	12:40:09,	34,	8.200E-03,	9.990E-03,	1.830E-04
35,	12:40:11,	35,	8.200E-03,	9.990E-03,	1.910E-04
36,	12:40:12,	36,	8.200E-03,	9.990E-03,	1.980E-04
37,	12:40:13,	37,	8.200E-03,	9.990E-03,	2.060E-04
38,	12:40:15,	38,	8.200E-03,	9.990E-03,	2.130E-04
39,	12:40:16,	39,	8.100E-03,	9.990E-03,	2.210E-04
40,	12:40:17,	40,	8.100E-03,	9.990E-03,	2.290E-04
41,	12:40:19,	41,	8.100E-03,	9.990E-03,	2.370E-04
42,	12:40:20,	42,	8.100E-03,	1.000E-02,	2.440E-04
43,	12:40:21,	43,	8.100E-03,	9.990E-03,	2.520E-04
44,	12:40:22,	44,	8.100E-03,	9.990E-03,	2.590E-04
45,	12:40:24,	45,	8.100E-03,	9.990E-03,	2.670E-04
46,	12:40:25,	46,	8.100E-03,	1.000E-02,	2.750E-04
47,	12:40:26,	47,	8.100E-03,	9.990E-03,	2.820E-04
48,	12:40:28,	48,	8.100E-03,	9.970E-03,	2.890E-04
49,	12:40:29,	49,	8.100E-03,	9.990E-03,	2.970E-04
50,	12:40:30,	50,	8.100E-03,	5.560E-03,	3.040E-04
51,	12:40:32,	51,	8.100E-03,	5.550E-03,	3.100E-04
52,	12:40:33,	52,	8.100E-03,	5.520E-03,	3.180E-04
